3
8h 2a 2b 2c b2 3b 83 18 27 23 
2h 28 73 25 c2 4c 84 82 b5 37 
42 28 1b 16 c6 84 1c a1 42 c8 
73 42 62 16 37 51 34 34 3a 3c 
a3 c1 63 5a 5c 53 a5 63 15 1a 
61 6h b1 6b c6 a6 b6 1c 1a 1b 
b1 a1 3b 3h 31 56 c3 4a 4h 42 
72 7c 47 46 c2 4c 4h ah 3h ch 
36 23 65 74v2 24 1a 1h 17 5c 5h 
2h a1 75 42 4a c4 1c 71 45 b4 
1b c5 a1 7c 78 32 3h 87v4 8h 8h 
2h 8h 5a 53 58 5h a3 8a b8 4b 
85 56 24 2h a6 36 2a 28 23 2h 
2h 83 c8 4c b4 a3 6b 6h 3a 3h 
31 c3 8c a8 4a c4 3c 63 6h 64 
6h 2h 6h 2h 6h 2h 56 5h 5h 57 
56 5h ah ch bh 8h 3h 1h 4h 7h 
1h 4h 6h 7h 6h 7h 6h 7h 2h 6h 
7h 
