2
63 6a 1b 16 23 b2 45 a1 31 3b 
34 23 2h 64 84 8a 83 83 68 62 
65 b6 16 12 1h 7b 7h 17 1h 1h 
2h b7 38 62 71v3 83 47 8b 86 87 
b6 36 48 4b 47 b8 16 54 3b 38 
13 51 58 5h 6h a8 78 63 41 4a 
b4 5b 5h 36 3h 15 b1 87 3b 35 
34 78 b3 63 64 51 34 3b a3 53 
61 41 28 2a 25 26 a2 6h b6 52 
1a 1b 1h 1h a5 2a 2h b6 5b 45 
4h 7h b6 5b 43 a5 8a 8h a4 85 
8h bh 6a 6h 4b 82 8h 28 a4 58 
87 3a 3h 12 15 1h 8h 8h a1 25 
b2 5a 5b b1 13 1h 1h 8b 8h a5 
b8 4a 53 31 78 7h 7b 74 75 5h 
2h ah 8h 6h 8h 4h 8h 1h 8h 1h 
8h 1h 8h 1h 8h 1h 8h 1h bh 8h 
1h 3h 
