2
5a 5b 85 74 63 a3 48 7a 7h 47 
63 6h ah 73 7a 73 47 45 a4 84 
2a 28 a5 48 7a b7 3b 3h 27 b2 
37 27 2b 28 2h b2 38 3b 23 a2 
38 78 63 31 3h 2a 87 62 16 23 
35 61 32 36 b3 2b 78 a2 62 73 
4a 46 47 b4 83 67 4b 46 45 b6 
38 a7 14v3 83 6b 6a 16 17 a6 b6 
1a 61 38 16 1b 1h 8h 12 b1 83 
12 a1 62 6b 71 5a 5h 38 3h 83 
8h 24 b6 54 56 57 5b 5h b5 3b 
3h 52 38 a5 4a 4h 4h 3h 4h 3h 
3h 4h a3 64 7a 62 47 46 4h 62 
72 b6 24 a7 3b 81 87 8a 83 8h 
5h 6h 8h bh 1h 3h 1h 4h 1h 4h 
1h 7h 4h 1h 2h 7h 4h 1h 2h 7h 
4h 1h 2h 7h 4h 1h 2h ah 4h 1h 

