2
7h 83 5a 6b 65 78 a7 82 73 62 
1a 51 67 65 a6 34 86 8a 8h 43 
b8 4b 4h 47 4h 84 b8 38 34 63 
6b a6 b7 26 23 63 84 8a 32 26 
18v2 37 27 67 6b a6 46 1a 17 14 
1h 64 13 b1 23 46 2b 24 12 23 
21 2h bh 1b 71 7h 8h a7 8a 17 
62 58v2 73 7h b1 37 45 4b 46 a4 
1a 45 85 42 52 5h b1 51 21 5b 
75 a4 6a b6 73 53 6b a6 b6 12 
35 28 21 4a 26 3b 34 32 3h 42 
81 b2 34v2 27 57 31 2b a2 32 3h 
75 18 32 16 3a 86 57 a3 42 68 
5a 5h 8h ah 38 65 16 8a 84 8h 
45 a3 56 6a 61 68 64 6h 84 a1 
14 b8 78 7h 87 2a 2h a1 4b 4a 
48 4h 1h 6h 2h a8 b4 85 34 5a 
5b 51 58 53 5h 2h 5h 83 a8 65 
6h 13 b6 35 48 86 71vb 7h 7h 1h 
6h 1h 6h 1h 6h 1h 6h 1h 5h 1h 
5h 1h 5h 1h 5h 1h 5h 2h 1h 5h 
1h 
