2
34 74 6a 7b 76 52 a5 7a 75 a6 
7a 87 85 8h 8h 1h 87 85 61 a8 
67 62 8a b8 17 26 58 71 56 86 
8b a8 5a 51 b5 65 8b a8 68 62 
82 52 58 5a 65 a6 53 17 15 65 
61 28 31 34 b6 13 75 82 6a 74 
54 a6 7b 45 16 3a 37 38 28 2h 
5h b3 a6 1b 1h 8h 7a b4 26 2b 
27 2h 1h 8h 4h 12 b1 7b a7 17 
43 42 32 41v2 41 31 21 43 3a b3 
4b 42 4h 6h 6h 1h 4h 1h 6h 1h 
84 8h a3 86 6a 68 6h 87 a7 b8 
68 52 63 83 2a 2h 78 a5 8b 8h 
83 2a 2h 8h 2h 2h 8h 2h a7 28v2 
2h 8h 2h 2h 1h 4h 5h bh 7h 3h 
1h 3h 1h 3h 3h 1h 3h 1h 1h 6h 
3h 6h 8h 
