1
35 14 2a 81 62 82 a2 8a 85 82 
86 a8 4a 48 4h 4h 34 3h 6h a8 
4a 45 4h 8h 8h 5h ah 8h 68 61 
84 58 5a 51 a1 7a 7h 81 58 75 
87 48 41 81 38 32 43 a4 3a 34 
a4 5a 54 a4 5a 58 35 73 78 7h 
2h 76 27 38 24 74 23 27 37 23 
54 24 28 27 24 57 65 2h 62 65 
68 56 52 75 62 76 56 75 73 67 
65 36 75 17 63 16 76 a7 6a 61 
56 a1 65 36 5a 63 56 53 15 63 
16 56 35 a5 6a 61 56 53 15 63 
16 56 35 6h 53 85 61 86 82 62 
36 52 35 65 a6 5a 53 15 a3 51 
35 1a 53 15 12 52 35 a2 53 45 
6a 46 56 35 45 43 53 54 65 63 
16 53 15 18 58 35 68 36 34 64 
36 54 25 63 16 52 15 41 58 35 
68 36 14 63 16 53 15 17 31 46 
13 21 5h 65 54 35 12 81 53 85 
15 31 46 25 4h 52 13 61 64 56 
14 31 65 36 16 51 58 65 18 31 
56 35 15 61 65 86 37 53 13 81 
61 26 1h 62 56 57 35 67 86 16 
81 53 65 61 86 3h 51 85 37 13 
65 86 ah 31 53 56 15 36 13 53 
65 15 31 35 43 3a 43 3h 43 47 
37 43 ah 15 61 68 46 36 53 18 
41 3a 63 61 56 31 53 63 16 58 
45 2h 61 36 38 13 68 16 36 43 
53 65 61 86 2h 51 35 34 83 63 
16 54 15 14 81 54 35 64 86 53 
85 16 31 36 43 16 41 31 23 3h 
13 14 61 34 63 13 61 65 36 31 
23 62 16 36 53 13 61 63 46 13 
41 61 36 58 45 23 62 16 15 31 
65 36 16 51 2h 62 63 56 54 85 
16 21 7h 13 61 64 36 14 31 61 
36 35 23 13 16 31 16 51 58 25 
35 63 35 63 62 86 32 53 32 53 
51 25 31 23 53 15 52 15 32 74 
16 71 41 47 17 14 61 23 68 26 
36 18 21 31 63 31 83 65 16 65 
16 12 81 62 56 62 56 53 45 63 
46 56 35 18 31 38 43 18 61 58 
45 35 43 28 65 86 15 81 62 86 
16 51 34 83 26 15 71 1h 61 12 
61 63 56 13 51 61 36 26 23 63 
62 16 15 31 65 36 16 31 62 38 
43 18 71 57 26 34 83 62 63 56 
16 31 38 53 54 85 34 83 53 65 
13 81 56 25 5h 65 64 36 54 35 
65 26 52 53 75 47 54 35 31 23 
62 46 51 45 65 16 36 73 74 34 
53 57 65 37 13 56 45 31 43 73 
57 35 34 23 21 54 25 15 65 12 
62 56 62 56 51 25 36 23 4h 53 
65 61 36 12 52 75 63 76 47 57 
15 64 36 35 43 65 46 36 53 18 
41 25 32 63 61 56 31 53 63 76 
3h 61 86 17 56 15 36 13 53 65 
14 31 34 63 14 21 23 13 41 52 
35 52 35 36 43 13 61 68 46 18 
41 58 35 28 14 21 81 36 43 82 
12 18 61 28 16 21 34 63 64 26 
34 23 54 85 51 85 15 16 51 16 
81 82 12 41 52 65 52 65 14 21 
74 12 71 41 38 43 13 14 31 14 
81 37 43 37 43 56 45 35 63 18 
41 68 46 38 53 28 64 26 86 51 
45 82 62 68 16 28 61 26 54 15 
14 21 54 25 34 83 36 83 63 61 
36 61 86 36 13 36 13 82 12 41 
32 63 32 63 14 21 74 12 71 58 
45 47 57 85 65 46 16 51 31 63 
21 58 45 12 65 86 21 35 73 5h 
37 13 32 13 16 51 36 43 15 21 
5h 16 21 53 65 51 65 15 16 51 
16 31 52 65 52 65 13 61 51 35 
21 53 25 26 28 68 58 15 58 15 
16 31 56 85 56 85 13 61 68 18 
61 51 35 62 16 12 81 82 12 81 
61 86 53 15 16 31 56 25 56 25 
65 34 23 14 21 31 63 3h 53 51 
45 16 36 13 54 65 18 61 68 13 
81 53 85 15 31 35 15 41 68 46 
38 53 16 51 31 53 52 15 13 61 
82 32 52 85 35 23 64 26 36 43 
1h 61 65 26 15 21 61 56 51 ah 
34 13 63 16 18 31 36 43 65 82 
62 56 16 51 34 63 61 76 12 32 
73 63 46 15 21 1a 31 37 53 17 
21 13 21 31 35 13 35 23 13 51 
13 51 31 35 15 13 51 13 71 1h 
31 15 31 38 53 31 53 82 64 16 
28 38 15 65 43 8h 51 76 34 53 
52 75 65 46 38 23 64 56 74 54 
85 64 86 62 76 38 15 67 43 3h 
51 86 43 15 41 31 53 56 45 62 
32 13 15 21 35 23 13 51 57 17 
31 28 54 13 62 45 3h 81 26 31 
73 75 74 54 57 45 35 13 12 41 
36 73 3h 53 28 35 63 62 86 28 
38 17 2h 53 81 82 74 54 34 68 
12 ah 25 83 46 41 28 42 58 24 
14 85 53 6a 32 81 45 46 38 28 
64 54 1h 83 82 46 45 28 38 65 
5h 81 82 12 57 ah 23 76 28 67 
3a 71 8h 17 4h 75 7h ah 5a ah 
8a ah 
