2
6a 61 a7 73 27 8b 86 85 8a 83 
28 a2 83 2a 28 2h a8 2a 23 26 
16 a2 82 7a 78 b7 a8 53 58 58 
4b 42 b8 7a 7b 74 b7 a7 76 1b 
1h 4h 76 21 86 34 b7 2a 68 43 
67 87 34 31 a2 32 3h 4h 5h 5b 
53 3a 35 37 a5 4a 4h 8h a1 4a 
41 a2 43 4a 52 34v2 a5 45 4a b4 
63 64 34 3b 34 84 73 78 7h 2h 
74 7h 38 a3 53 47 5a b5 74 6b 
61 1h 8h 65 64 b6 84 47 a8 6b 
45 75 b6 74 38 46 12 1h 1h 64 
18 1a 1b 1h 2h 5h 2h 5h 2h 5h 
2h 5h 2h 4h 5h 2h 8h 4h 5h 2h 
8h 4h 5h 2h 8h 4h 5h 2h 8h 4h 
ah 5h 2h 8h 4h 3h bh 6h 8h 4h 

