1
4h 53 5h 7a 83 63 71 81 68 65 
61 61 a1 6a 86 76 7h a6 36 27 
8a 28 a8 27 2a 23 23 2h 7h 72 
36 76 26 12 72 57 a5 2a 21 32 
a1 23 12 3a 21 32 a2 3a 38 36 
a8 64 2a 28 a8 46 12 64 2a 62 
42 46 26 a1 62 4a 74 67 27 26 
42 54 25 a2 76 7a 47 42 4h 52 
75 17 14 74 37 31 35 3h 3h 13 
43 41 31 34 13 1h 52 41 31 83 
25 38 43 48 14 52 41 64 6h 3h 
8h 83 a6 46 14 25 41 84 34 83 
1a 38 13 52 31 43 48 14 38 13 
43 14 1h 25 a3 52 1a 12 1h 6h 
71 37 3h 12 34 13 12 a3 23 7a 
17 17 1h ah 6h 4h 6h 4h 6h 3h 
6h 6h 2h 81 8h 8h 2h 2h 7h 84 
87 47 84 67 6h 2h 2h 8h 86 8h 
38 3h 53 52 32 53 5h 1h 8h 7h 
5h 7h 7h 7h 2h 4h 2h 2h 6h 3h 

