3
2a 72 1b 81 26 14 8c 82 17 12 
b2 81 8b 84 c8 58 b5 35 73 7c 
75 7b 72 a7 67 62 6a 26 62 72 
76 31 a7 26 48 7a b7 84 a7 8b 
8a a8 13 17 15 8a c8 1c a1 37 
3a 53 62 35 b1 26 8b 41 c8 28 
53 14 68 62 41 82 6c 6h c1 6c 
a6 76 28 c7 35 82 14 3a 3c 3h 
2h 67 35 3h 4h 4h 2h 2h 82 a3 
53 41 4h 14 1a 35 c1 3c a3 43 
76 1a 28 41 67 46 4h a4 31 3a 
c4 54 a3 13 24 25 2h 8h 2h 3h 
4h 31 3h 12 53v6 5h 5h 8h 2h 4h 
2c 2h 2h 3h 5a 51 1h 8h ch 4h 
7h 4h 4h 7h 7h 6c 6h 4h 7h 42v2 
35 31 3h 7h 3h 7h 3h 1h 48 47 
4h ch 5h 6h 7h 2h 8h bh 2h ah 

