4
8a 6b 6c 6d 68 47 27 2h 48 c4 
6c 67 c6 15 64 a6 86 8h 3h 3c 
3a 23 a3 8a 87 c7 8c 52 58 45 
83 b8 54 38 36 3h 86 45 8b 38 
b8 68 1b 31 54 c3 86 45 71 3c 
54 d3 a3 5d 75 74 7a c7 15 75 
a1 3c 3a 57 51 68 c3 b5 86 8c 
8b d8 3d c3 63 8c 71 36 78 76 
85 b8 7b 15 38 d7 68 51 28 2d 
b2 d7 a3 2b 2d 82 15 73 63 83 
23 c7 2a 47 d2 4c 4d 48 28 42 
4h 3h 4h 1h bh c4 1b 1h 2c b2 
52 4b 17 14 1h 2h 1h 3h 1h 2h 
3h ah 2h 5h 3h 8h 5h 3h 8h 5h 
7h 3h 8h 5h 7h 3h 8h 5h 7h 3h 
4h 7h 3h 5h 7h 3h 5h 7h 6h 3h 
bh dh 6h 3h ch 6h 
