2
65 6a 62 7b 73 84 a1 8a 82 85 
84 82 b8 32 58 37 3h 3h 32 3h 
3b a3 23 85 8a 32 b8 6b 46 23 
b8 41 84 32 8b 61 23 a8 58 32 
3a 85 63 63 58 a6 26 85 8a b8 
48 4b 4h 46 45 a4 54 58 57 54 
62 65 b6 5a 5b 56 57 b5 a5 3b 
3a a3 86 13 b1 25 46 48 24 3a 
3b a3 27 47 3a b3 74 13 a1 54 
5b 5a a7 68 72 18 15 5a b2 1b 
15 5h 8h 2h a5 1a 15 1h 4h 3h 
16 a1 b1 3a 27 2b 23 a2 25 2h 
5h 5h 7h 5h 26 2h 2a 2h 4h 8h 
4h 8h 7h 4h 8h 7h 4h 5h 8h 7h 
6h bh 3h 8h 7h 6h 8h 7h 6h 1h 
8h 7h 8h 7h 6h ah 1h 8h 7h 6h 
8h 7h 6h 
