2
1h 4a 5b 41 64 b1 4b 45 48 b5 
7b a4 7a 57 b4 5b 58 b8 5b 5h 
a4 b4 1a 1b 14 b4 1b 16 12 a4 
1a 13 21 a3 8a 12 71 78 18 b1 
6b 76 71 a7 87 6a 78 b6 87 2b 
78 23 21 b3 87 6b 78 a6 87 8a 
81 a1 71 6a 17 b6 71 7b 78 b7 
78 a7 18 6b 81 76 b7 18 6a 81 
6b 6h 18 76 b7 8b 67 a6 1a 81 
b1 2b 27 26 a8 18 6a 76 a7 81 
3a 53 b5 18 6b 76 b7 81 2b 18 
25 b2 81 25 a2 18 6b 76 1a b7 
2b a2 82 81 21 28 b2 18 2a 12 
4b 21 32 81 a3 2a 42 b2 18 3b 
45 a3 2a 25 12 a5 7a 21 72 81 
62 67 27 a2 6a 18 67 6h 8h 5h 
56 54 64 a6 2a 26 a6 82 3a b3 
4b 45 18 21 54 76 a2 6a b4 7b 
67 b6 a6 5b 67 3a 23 42 b5 1b 
45 25 76 12 b2 67 8b 81 b1 76 
2b 12 b1 2b 28 18 67 b1 5b 52 
b2 4b 54 b5 3b a3 76 4a 54 a5 
67 2a 24 76 72 a4 3a 62 67 a3 
2a 26 b2 a6 1b 81 b8 67 2a 42 
45 25 a2 76 1b 67 3a 81 23 b2 
28 a2 76 3b 5a 23 42 52 54 24 
25 a2 24 b2 67 8a 76 2b a2 18 
21 b2 67 2a 82 76 2b 82 12 18 
28 21 b2 81 28 a2 67 1b 76 3a 
81 23 b2 67 18 21 a2 76 2b 52 
2a 52 67 a2 76 8a 18 67 a1 76 
3a 67 b3 76 8b 18 67 b1 76 5b 
56 b5 56 a5 8b 18 1h 8a 81 a1 
2a 26 b2 8b a6 8a 38 53 b5 8b 
38 b3 2b a2 52 b5 8a 38 8b a3 
8a 8h 86 83 8h b8 38 46 4h 83 
5b a5 38 35 85 83 b8 53 8a 28 
2h a2 35 2b 12 18 28 b2 53 8a 
2b 82 35 28 12 82 81 a8 82 b8 
53 2a 82 a8 35 8b 18 1a 15 b1 
8b a8 85 b8 85 28 25 85 38 1a 
31 81 a8 2b 32 8a b8 1b 12 a1 
8a b8 82 a8 1b 31 8a b8 5b 85 
b8 13 a1 6b 8a 48 68 64 84 86 
a8 46 8a b8 86 a8 1b 31 8a b8 
5b 58 13 b1 18 a1 3b 1a b1 2b 
13 b1 2b 23 a2 8a 28 a2 8a 85 
25 a2 8a b8 18 a1 8b 83 b8 83 
58 25 32 8a 58 23 52 82 a8 2b 
25 42 4h 85 b8 2a 52 85 a8 1b 
41 8a 48 18 b1 47 4h 2h a2 1b 
31 2a b2 3b 34 b4 14 a1 2b 32 
1a b1 8b 87 a8 23 b2 27 32 1a 
31 21 a2 8b 38 3h 31 8a 38 3h 
3h 5h 5h 5h 6h 2h 6h 5h 6h 6h 
bh 5h 5h 6h 4h 6h 4h 6h 4h ah 
7h 5h 7h 5h 6h 6h 7h 1h 1h 1h 
7h 4h 6h 7h 7h 8h 
