2
2h 8a 2b 64 a6 8a 84 a4 8a 87 
b7 2b 28 28 58 24 23 52 54 5h 
25 a4 b2 3a 2b a2 7a 23 72 a2 
7a 74 74 72 7h 1h 73 47 87 84 
74 78 37 48 73 47 87 84 74 78 
57 53 51 35 48 75 87 12 78 47 
87 84 74 78 37 21 73 57 b5 12 
7b 48 21 67 65 75 87 12 74 87 
67 21 6h 12 62 7h 78 27 21 71 
37 31 71 b7 48 5b 57 84 b7 48 
5b 51 35 23 b1 84 7b 32 48 71 
23 b1 84 7b 37 72 87 47 48 78 
74 27 73 b7 84 5b 35 52 85 45 
48 58 54 15 17 57 45 85 84 54 
58 45 58 25 53 b5 84 6b 36 62 
a6 23 7a 32 48 71 23 a1 84 7a 
37 72 87 47 48 78 74 87 74 87 
23 78 27 26 82 76 37 42 76 87 
47 48 27 63 84 24 a2 74 7a 36 
78 47 48 78 67 a4 84 73 87 5a 
35 47 56 85 45 48 75 78 47 58 
74 57 54 15 12 74 17 27 57 45 
21 42 52 45 82 54 75 71 51 45 
28 54 25 24 62 54 85 54 85 45 
26 82 42 48 52 58 45 28 54 25 
85 82 52 84 54 15 17 57 45 48 
58 45 28 54 25 85 82 52 58 45 
28 54 25 24 12 54 15 25 42 82 
84 24 28 42 28 72 75 25 42 82 
84 24 28 42 28 62 23 a2 84 7a 
37 76 87 47 48 78 74 17 12 72 
47 87 84 74 78 47 78 17 16 76 
47 87 84 74 13 78 27 26 76 87 
47 48 78 74 37 84 73 a7 48 5a 
57 84 a7 48 5a 56 85 a6 54 85 
3a 45 48 58 54 35 84 a5 48 7a 
76 84 a6 48 7a 17 13 71 47 87 
84 74 78 37 48 73 57 53 45 85 
84 54 73 b7 45 48 58 54 15 2b 
12 52 85 1h 54 35 48 15 81 b5 
18 61 7b 67 17 31 84 13 81 41 
48 18 14 61 a6 84 7a 48 76 47 
87 84 74 78 47 a6 78 47 87 84 
74 78 47 4a 78 47 a7 87 1a 31 
78 13 71 74 37 14 31 71 47 87 
84 74 78 47 78 17 13 41 81 73 
47 18 17 31 87 13 81 71 84 74 
78 37 48 73 47 18 17 31 87 13 
81 84 14 31 74 13 a1 47 4a 48 
a8 78 7a 74 37 a4 73 57 1a 51 
71 37 57 45 85 84 54 58 15 17 
31 48 57 45 85 84 54 58 45 58 
45 85 84 54 13 61 58 65 15 81 
41 48 18 14 61 a6 84 5a 48 56 
45 85 84 54 58 45 a6 54 75 5a 
75 a5 48 7a 84 73 87 a3 47 48 
78 74 87 4a 78 37 4h 73 57 53 
45 73 47 57 65 61 51 75 74 37 
54 35 75 a7 87 1a 16 78 a6 87 
1a 51 53 45 13 41 51 85 75 78 
17 14 81 87 84 78 51 58 35 18 
53 45 74 b7 1b 41 54 a5 1a b1 
81 4b 18 a4 81 5a 45 b4 8b 85 
48 58 54 15 18 31 58 35 15 a1 
5a 53 45 a3 54 35 4a 53 45 47 
57 35 a7 53 45 42 52 35 4a 53 
45 42 a5 4a 48 45 43 3h 4h 34 
ah 43 84 1a 81 41 84 87 47 14 
17 31 47 34 14 21 25 15 41 43 
74 13 71 41 74 78 48 14 18 31 
48 34 14 71 75 15 41 43 84 13 
81 41 84 85 45 14 15 31 45 34 
14 71 72 37 12 31 71 47 41 34 
71 37 47 34 32 82 38 3h 13 4h 
14 34 13 17 41 43 74 13 71 41 
34 6h 43 14 17 31 47 34 14 71 
31 43 41 24 6h 42 14 34 13 17 
41 43 74 13 71 41 34 6h 43 14 
17 31 47 34 14 71 31 43 41 74 
68 5h 86 47 14 34 13 17 41 43 
74 13 71 41 64 5h 46 14 17 31 
47 34 14 71 31 43 41 74 68 8h 
47 14 34 13 17 41 43 74 13 71 
41 34 5h 52 8h 28 8h 38 48 14 
34 23 52 35 63 2h 36 83 17 41 
47 24 17 21 41 24 87 18 37 23 
81 28 38 13 14 81 34 73 18 51 
3h 43 13 41 35 31 83 43 14 13 
71 43 74 82 78 14 51 5h 13 41 
48 34 18 31 41 84 4h 14 13 71 
35 45 84 81 38 41 34 84 18 32 
13 17 21 83 48 41 24 8h 18 14 
71 ah 84 38 31 43 81 48 38 13 
42 64 4a 24 6h 31 83 84 18 34 
13 83 48 17 41 bh 14 51 1b 71 
5h 84 38 31 43 81 48 38 13 42 
14 17 81 47 64 37 23 67 47 64 
32 63 82 78 12 71 73 14 31 84 
78 18 41 48 36 83 13 81 16 71 
48 34 38 23 48 24 34 83 86 36 
43 17 21 41 84 31 73 48 54 8h 
41 64 83 58 8h 18 46 14 84 58 
52 12 15 41 25 14 31 82 58 37 
43 17 21 34 23 85 78 13 71 3h 
81 48 45 14 17 51 53 13 71 41 
54 ah 42 34 84 18 32 35 43 25 
45 24 35 63 17 61 68 18 71 61 
42 84 81 41 24 31 63 83 18 42 
14 13 43 24 8a 18 42 34 81 58 
4h 14 85 38 17 31 76 16 43 83 
21 bh 34 38 48 64 67 43 54 4b 
84 43 74 84 38 84 38 12 41 18 
41 81 84 18 84 28 13 41 13 41 
47 54 17 31 17 51 41 34 82 18 
12 71 82 78 18 71 84 81 48 81 
58 36 23 46 14 46 24 85 34 61 
4h 28 63 45 64 34 13 34 13 82 
48 83 48 38 31 83 52 14 34 53 
81 48 81 48 47 24 87 28 32 73 
42 74 34 13 85 31 4h 18 13 25 
31 23 53 14 52 4h 16 21 31 32 
13 32 63 47 36 1h 64 7h 23 21 
31 46 7h 63 5h 14 36 41 ah 67 
8a 15 76 51 bh 63 3b 14 12 42 
ah 28 27 87 7a 72 2h 6h ah 2a 
bh ah 
