2
3a 2b 26 a1 4a 41 84 78 b1 3b 
a3 4a 42 45 46 a2 4a 45 84 82 
42 54 58 48 54 56 54 5h 51 b1 
84 53 85 45 48 58 54 84 3b 35 
b5 3b 34 37 31 b7 3b a3 b3 5a 
57 a7 2b 25 b5 2a 26 2b a6 52 
56 85 4a 45 a5 48 4a 54 58 48 
a4 54 7a 75 a5 7a 72 76 26 a6 
5a 56 a6 8a 15 84 a4 5a 15 17 
57 15 14 54 15 18 58 65 1h 51 
65 15 16 56 a7 17 12 65 1a 13 
61 62 51 52 35 5h 65 12 56 35 
37 63 57 65 21 35 73 1h 37 23 
12 51 56 25 21 31 63 23 26 36 
32 13 16 36 73 12 61 62 37 83 
52 85 35 23 12 41 45 15 21 32 
43 48 38 23 12 51 58 18 21 32 
53 54 65 34 23 25 15 61 21 26 
16 12 51 56 16 71 52 65 62 17 
61 52 85 84 54 65 15 21 32 53 
56 75 36 73 53 25 12 b1 3b 37 
63 b7 36 73 6b 37 63 b3 5b 25 
23 53 25 26 56 25 28 48 b2 84 
6b 65 48 b5 84 3b 35 48 b5 84 
3b 36 73 48 37 23 52 35 73 b6 
84 3b 73 b3 48 2b 26 72 56 84 
b5 48 6b 27 56 84 b5 48 3b 37 
63 56 35 63 84 36 73 72 32 63 
56 35 73 b2 37 63 56 48 7b 65 
36 73 78 74 71 38 53 7h 27 35 
73 3h 53 7h 67 75 67 37 63 7h 
73 27 7h 67 53 76 27 28 62 78 
67 61 35 27 32 37 63 27 62 57 
32 63 12 36 53 73 75 35 37 53 
5h 37 53 bh 21 6b 12 5h 52 65 
b5 6b 6h 64 56 3h 63 35 13 15 
61 64 35 83 84 34 73 8h 37 83 
3h 23 25 35 b3 13 71 6b 76 16 
71 75 15 61 65 86 15 81 61 86 
7h 87 67 16 17 81 67 86 16 81 
83 82 78 1h 21 87 28 18 71 23 
52 8h 25 72 12 71 76 37 bh 87 
28 21 52 2b 52 2h 52 bh 25 72 
73 17 23 62 87 68 28 72 71 57 
21 52 72 17 2b 25 12 72 57 18 
31 4h 75 27 28 52 78 57 51 71 
57 21 52 73 57 27 32 4h 23 72 
75 17 25 12 13 23 52 73 57 12 
81 75 87 3h 17 21 25 82 bh 15 
71 72 57 12 51 71 27 7b 17 15 
81 86 58 4h 78 27 21 52 3h 25 
82 32 85 68 35 25 23 12 53 21 
52 86 18 78 57 16 51 71 67 21 
82 31 76 37 86 38 26 12 18 28 
12 23 62 73 87 73 67 15 61 71 
87 21 52 78 37 25 62 4h 73 87 
85 18 75 17 87 58 12 71 72 57 
12 51 71 47 81 48 7h 37 7h 17 
31 8h 18 24 73 17 87 28 15 71 
75 27 35 72 37 57 82 78 53 83 
58 17 41 1h 71 78 27 18 21 71 
37 8h 78 17 12 81 13 81 85 28 
15 31 15 31 82 38 18 51 18 51 
72 87 71 87 17 15 31 81 78 51 
81 58 78 17 78 17 53 15 75 87 
75 87 81 28 71 57 71 57 53 25 
73 17 73 17 85 18 78 57 52 45 
74 27 57 85 26 42 74 76 47 26 
42 72 67 58 25 64 54 35 58 35 
31 51 85 51 85 26 32 58 15 58 
15 76 87 75 87 57 58 75 12 82 
52 65 78 67 13 81 21 76 17 46 
28 78 27 17 81 17 81 54 75 51 
75 15 17 51 17 61 82 68 23 53 
75 53 65 85 78 72 57 82 38 82 
38 75 37 15 21 27 17 21 81 78 
81 78 18 17 87 81 78 81 78 72 
57 82 18 82 58 78 17 13 81 73 
27 73 27 85 48 14 51 72 37 72 
37 15 31 71 27 71 27 85 18 87 
18 78 72 37 17 21 1h 81 87 58 
72 12 71 85 28 73 27 87 28 12 
71 78 57 82 12 51 71 37 1h 15 
21 87 28 18 71 73 87 81 28 71 
37 bh 87 18 17 12 71 81 78 73 
17 18 21 81 83 58 48 13 73 87 
85 48 12 41 81 75 1b 58 57 87 
28 16 31 54 75 38 18 61 32 71 
87 51 85 75 17 83 58 52 15 82 
38 54 35 74 27 85 28 78 57 53 
85 87 28 57 35 85 78 75 72 57 
16 87 7h 51 28 71 67 18 15 81 
15 41 82 58 82 58 28 47 25 85 
23 42 17 51 18 51 81 85 18 85 
78 13 71 74 37 57 12 51 8h 78 
24 87 38 15 71 42 58 18 41 75 
87 75 87 57 16 71 26 58 18 61 
53 65 15 81 52 54 73 18 8h 85 
27 31 18 72 46 53 8h 21 67 35 
74 37 26 42 16 73 58 24 31 8h 
67 65 42 13 26 54 74 6h 31 42 
45 56 26 13 6h 67 35 74 53 3h 
42 26 6h 83 6h 31 3h bh 1b bh 
4b bh ah 
