1
18 41 4h 6a 63 46 74 78 a2 7a 
74 73 7h 17 12 72 37 a7 3a 38 
a8 7a 78 a8 4a 47 a7 37 3h 3a 
35 45 46 36 3h 13 16 13 1h 14 
71 74 75 67 45 15 63 73 a1 27 
21 71 5a 54 a4 27 2a 2h 8h a4 
7a 37 36 a4 8a 76 87 a7 1a 14 
a4 8a 86 a6 7a 76 a6 27 4a 41 
a1 8a 83 a3 18 14 2a 84 81 26 
84 a1 7a 17 47 41 71 74 87 67 
81 8h 76 a8 1a 67 14 a4 76 8a 
28 2h 67 62 72 76 47 4h 2h 4h 
2h 4h a2 8a 18 14 1h 84 51 a8 
4a 15 41 a1 2a 12 14 61 24 32 
16 31 21 32 38 a3 4a 4h 28 a2 
1a 18 51 a8 4a 15 41 a1 7a 17 
14 61 74 67 17 61 68 18 71 78 
57 18 a1 3a 53 73 a7 57 2a 32 
37 27 a3 1a 52 45 41 51 54 14 
57 5h 5h ah 4a 4h 47 17 81 8h 
52 45 a7 3a 73 54 75 35 74 73 
43 47 37 34 74 83 86 47 36 53 
74 54 34 a5 1a 73 71 31 23 73 
72 32 37 63 68 38 27 13 17 61 
37 43 16 81 34 83 13 a1 8a 68 
a6 1a 31 38 a3 6a 18 71 a6 1a 
21 a7 3a 43 12 41 31 83 86 36 
73 43 47 37 34 a3 1a 17 41 a7 
5a 45 42 4h 15 a4 7a 7h 7h 61 
6h 5h 6h 6h 75 72 52 57 a5 1a 
71 21 27 17 12 72 81 86 27 16 
a1 3a 23 73 72 32 37 27 23 73 
7h 7h 8h 8h 27 2h 2h a2 4a 34 
37 63 47 a4 1a 61 31 63 68 6h 
6h 4h 2h 5h ah 6h 1h 6h 7h 1h 
7h 7h 8h 3h 7h 7h 8h 
