2
5h 87 37 3a 53 1b 31 a5 57 52 
72 5a b5 13 58 4b 46 31 34 b5 
3b 35 14 38 3h 27 28 2h 13 17 
25 26 b6 43 56 2b 26 27 13 b3 
34 78 65 64 54 6b 6h 4h b2 6b 
6h 6h 26 b2 1b 1h 1h 5h 2h 43 
71 75 72 87 78 15 71 74 7h 81 
37 3h 18 1h 64 34 a1 4a 4h b6 
2b 43 a2 6a 72 b6 56 34 86 8h 
43 a5 4b 4h 1a 87 85 75 b1 7b 
31 a7 34 8a 87 b8 58 43 13 47 
1b a1 51 81 74 85 86 47 1a 1h 
83 74 b8 38 34 37 a3 28 7b 7h 
47 b2 4a 4b 48 4h 8h 6h 8h 6h 
8h 6h 8h 6h 8h 6h 4h 8h 6h 7h 
8h 3h 6h 7h 2h 6h 1h 7h 5h ah 
7h 5h 1h 7h 5h bh 1h 7h 
