1
58 7a 78 71 75 a3 6a 64 6h 61 
67 a7 67 37 86 87 83 67 1a 16 
a6 1a 1h 12 1h 15 a1 6a 61 86 
a1 3a 61 a6 7a 76 73 63 a3 67 
1a 36 37 67 a1 2a 26 24 24 84 
87 83 a6 26 8a 58 56 86 78 27 
26 a6 2a 52 51 57 25 78 a2 5a 
52 5h a5 2a 87 8h a8 1a 1h 82 
68 52 15 86 16 48 56 25 84 a8 
1a 52 35 a1 4a 53 45 a5 8a 68 
61 81 58 54 35 84 78 53 a5 87 
6a 68 a8 6a 62 a2 5a 85 82 a8 
1a 15 12 52 a2 8a 38 51 65 83 
78 56 75 73 7h 53 83 75 28 21 
81 57 a8 3a 35 a5 3a 37 a7 5a 
57 35 a7 8a 38 31 34 84 68 a1 
5a 45 86 a5 4a 48 a8 5a 58 15 
43 a8 51 2a 25 a5 34 2a 26 a6 
5a 56 15 a6 5a 15 a5 1a 16 43 
a6 5a 56 a5 4a 56 25 a4 34 7a 
52 a5 43 1a 57 a5 8a 34 51 85 
43 a5 8a 83 a3 4a 48 a8 5a 53 
75 a3 2a 57 45 a2 41 5a 45 42 
4h 6h 42 4h 7h 64 61 6h 41 a4 
8a 84 68 62 82 45 68 a5 3a 86 
18 a3 1a 12 a2 4a 82 14 18 21 
48 24 14 12 42 71 7h 4h 3h 8h 
3h 3h 6h 34 35 45 a4 8a 58 53 
83 58 54 84 a8 1a 31 34 14 a1 
8a 38 3h 1h 2h 7h 31 3h 1h 2h 
7h 2h 7h ah 2h 7h 2h 4h 2h 7h 
2h 4h 4h 6h 7h 6h 4h 2h 2h 8h 
6h 6h 7h 4h 2h 5h 
