2
5h 2a 8b 82 43 b3 58 4b 46 47 
4h b4 76 16 5b 5h 53 58 23 75 
25 42 52 54 b5 67 12 24 76 1b 
18 1h 15 73 67 63 73 76 87 b8 
1b 36 a1 b1 63 7a 7b 7h b7 87 
36 42 a8 63 4b 4a 4h a4 b4 24 
81 5a 5b 85 36 81 85 8h a8 21 
2a 82 a2 75 15 28v3 63 b7 45 21 
41 6a 6b 62 64 56 51 b2 a2 61 
32 87 6b 6h 1h 2h 5h 6a 62 6h 
bh 15 3b 3h 16 1h 4h b4 56 24 
2h 23 78 7b a7 2a 43 b2 51 61 
6h 38 3b 34 3h 1h b6 36 3h 8h 
1h 8h 1h 8h ah 5h 1h 8h 3h 5h 
1h 8h 1h 8h 6h 5h 1h 8h 6h 5h 
4h 1h 8h 3h 1h 8h 3h 2h 7h 8h 

