2
6a 8b 86 a1 b7 63 64 5a 5h a6 
65 53 5b 5a 5h 2h b1 2b 25 5h 
25 23 56 73 67 25 a2 6a 65 b6 
16 1b 12 17 18 1h 14 a4 38 57 
b5 18 36 3a 3b 37 b1 34 3h 15 
27 3b 31 32 a5 b3 61 72 65 15 
1a 85 81v2 3b 58 a3 27 51 2a 53 
13 a2 72 15 83 b1 8a 8b 78 a5 
1a b1 87 35 27 8b 53 a8 1a b1 
21 71 a2 8b 35 32 17 74 56 4a 
4h 62 b8 7b 73 7h ah 8h 4h 75 
b3 78 48 43 2a 2b 2h bh 7b 17 
1h 2h 62 81 8h 71 34 83 a7 2a 
28 2h 34 3h 62 a8 82 b8 1a 1b 
b1 7b a7 43 71 48 47 65 4a 4h 
a3 7a 47 4h 4h bh 1h 2h 3h 1h 
2h 3h 5h 2h 3h 5h 2h 3h 8h 6h 
2h 3h 4h 5h 8h 6h 7h 5h 8h 6h 
5h 8h 6h ah 5h 8h 
