1
1h 2h 5a 51 21 51 25 27 28 27 
2h 42 a8 6a 6h ah 6h 67 26 1a 
12 a2 1a 17 a1 2a 62 61 a1 6a 
76 a6 1a 16 a6 1a 17 a7 6a 26 
a2 1a 1h 16 1h a1 62 6a 67 a7 
27 5a 45 14 a1 2a 26 72 a6 4a 
27 42 4h 6h a2 42 1a 51 54 35 
3h a4 5a 85 83 53 a5 3a 53 58 
5h 38 35 a5 7a 76 a6 5a 85 a8 
5a 53 83 85 35 38 a8 4a 14 51 
53 45 a4 5a 65 13 71 61 51 a5 
3a 83 a8 67 4a 54 76 35 83 58 
75 65 67 57 56 a5 1a 17 a7 8a 
16 38 31 a1 7a 76 a6 5a 15 81 
83 13 51 85 84 8h 82 8h 82 68 
67 87 a8 5a 48 35 13 84 51 a5 
8a 38 35 15 13 51 85 a8 5a 15 
61 a3 6a 62 48 a6 16 21 5a 84 
12 51 31 48 a3 5a 45 85 84 78 
76 86 18 54 31 83 45 a8 3a 38 
18 a1 8a 18 54 13 83 a1 45 18 
2a 21 a1 3a 83 a8 6a 67 a7 6a 
61 26 54 a1 7a 71 62 76 45 16 
a6 54 5a 75 15 17 57 51 71 a5 
3a 83 a8 45 6a 61 a1 5a 67 a6 
3a 83 a8 5a 25 64 76 52 a5 6a 
76 a6 5a 75 72 52 15 16 56 15 
12 52 35 83 58 65 62 52 65 61 
a6 46 51 7a 64 a5 6a 76 56 a5 
45 3a 83 a8 54 7a 78 7h 7h 7h 
2h 2h 4h 73 87 38 73 a7 2a 12 
a1 4a 54 a5 6a 67 16 1h a7 1a 
17 81 a7 5a 38 35 85 83 53 58 
18 45 31 83 18 41 a1 43 2a 62 
16 51 25 38 a2 7a 43 a4 6a 76 
46 14 13 81 43 64 18 a1 7a 46 
a4 2a 52 a5 4a 34 13 21 26 16 
71 a1 5a 15 17 57 31 a5 2a 27 
a7 1a 21 38 a8 3a 12 a1 8a 81 
41 a4 5a 75 72 52 a5 6a 83 62 
a2 5a 65 67 26 38 a2 5a 15 41 
83 a7 6a 14 86 13 16 a1 6a 53 
85 a6 3a 36 a6 3a 58 25 12 61 
a3 63 43 74 3a 13 61 68 26 52 
18 75 71 51 35 a3 4a 34 38 a1 
3a 58 25 a3 21 4a 14 54 a5 2a 
12 a1 6a 86 83 63 26 12 61 46 
a4 2a 12 a1 3a 53 a5 4a 41 61 
a4 3a 53 a6 8a 15 41 24 a8 3a 
38 68 a6 42 84 5a 15 12 48 74 
a2 6a 47 16 a4 6a 16 17 81 83 
13 a1 3a 16 38 48 31 24 52 85 
13 61 a8 3a 16 71 a3 1a 71 a1 
4a 24 26 a6 7a 87 58 a5 2a 21 
a1 2a 25 a5 8a 78 17 15 75 87 
83 73 17 12 72 81 37 31 a1 38 
4a 64 65 45 83 84 34 38 48 43 
64 62 86 42 a4 5a 52 63 42 16 
