1
6h 35 3a 3h a8 38 5a 52 56 58 
5h 24 25 a4 2a 24 27 2h 1h 17 
23 2h 3h 7h 62 63 61 6h 23 72 
7h 7h ah 4h 2a 72 78 78 78 a2 
4a 27 45 a5 72 37 1a 38 78 57 
54 74 a1 57 4a 47 a7 8a 83 a3 
1a 12 a2 3a 38 a8 1a 16 a6 7a 
74 a4 2a 75 87 83 a2 73 6a 64 
a7 8a 74 37 81 a1 31 5a 71 a7 
4a 46 75 a6 2a 27 a7 2a 26 82 
a6 28 72 76 87 26 82 72 87 2a 
27 82 a7 28 72 8a 27 82 a2 8a 
8h 6h 3h 63 6h 7h a3 83 8h 8h 
1h 38 3h 3a 36 3h 8h 1h 1h 6h 
ah 1h 6h 7h 7h 4h 1h 6h 6h 2h 
4h 43 4h 4h 4h 6h 2h 5h 4h 4h 
4h 6h 3h 5h 5h 1h 
