2
6a 6b 64 a3 5a b5 47 a5 2b 25 
8a b8 6b 67 64 26 21 26 27 21 
b2 46 4b 42 2h 4h 7h 21 43 b2 
82 23 76 38 15 a2 67 4b 51 76 
7a 7h 1h a4 83 2a b2 72 15 4b 
38 a4 7a 74 75 83 a7 8a 8h 5h 
6h 5h 6h 5h 15 1h bh 7b a1 31 
87 28 2a b2 7b a7 87 b1 32 8a 
68 12 67 6b 87 21 a6 b6 23 2a 
51 5h 1h 7h 78 76 1b 1h 6h 86 
a2 58 5a 51 87 a5 b1 32 12 3a 
3b 38 43 8h 5h 34 67 38 38 3h 
6h 34 a5 b3 8a 8b b8 5b a5 3a 
48 85 a3 65 23 2h 21 54 b6 26 
74 7h 6h 48 16 1a 1b 1h 1h 3h 
1h 8h 3h 8h 3h 8h 6h 3h 7h 1h 
8h 6h 8h 6h ah 8h 4h 6h bh 8h 
2h 4h 6h 8h 
