3
8a 84 15 8b 8c a8 1a b1 48 a1 
3b 23 85 48 4a b4 73 46 45 58 
4b 42 41 a4 27 2a 25 27 b2 4b 
c4 a4 85 12 1c 1h 74 58 1a 12 
14 b1 21 61 7b 72 62 6h 6h 1h 
74 75 12 67 6h 8h 21 58 63 b6 
76 46 56 2b 2h c7 27 23 32 86 
72 5c 51 68 73 57 c5 86 7c 54 
57 68 a5 23 27 2h 1h 84 c2 6a 
6h 54 13 4c 4h 35 3h 82 a8 4a 
4h 1h b1 5b a5 46 4h 7h 8a b1 
37 a6 17 64 6b 6h 46 c8 b1 5a 
61 a1 73 16 64 37 32 2c 2h 46 
4b 4h 3h 35 3h 3h 3h 25 2a c2 
1c 31 3h 8h 7h 6h 7h 6h 7h 6h 
7h 6h 7h 6h ch 2h 7h 6h 7h 6h 
bh 7h 1h 6h 5h 4h ah 6h 5h 4h 
5h 
