2
3a 13 35 48 4h 1b 15 b3 2b a2 
b8 6a 6b 65 a5 6a 67 b6 63 4b 
46 4h b3 61 45 8h 57 26v2 4b a4 
64 86v2 16 87 78 2a 28 21 24 b2 
41 87 8b 8h 6h 67 81 b8 76 78 
68 67 a6 14 1b 1a 1h 1h b1 87 
8h 6b a6 16 46 3a 31 3h 3h a1 
78 7h 3h 3a 35 b3 7b 7h 75 a5 
b5 85 8h 3a 3b 38 63 6h 64 82 
62 b8 a6 42 68 7b 7a 76 73 24 
74 a6 b6 76 3a 3b b3 7b 7h 1h 
5h a3 28 56 5h 4a 47 4h 78 57 
5h a8 1a b1 38 a3 2b 2a a2 7a 
b7 3b 72 51 53 57 5h bh 6h 8h 
5h 4b 13 51 5h 6h 8h 6h 8h 6h 
8h ah 6h 8h bh 6h 8h 3h 6h 8h 
3h 2h 7h 6h 8h 3h 1h 8h 2h 1h 

