1
1h 21 2h 76 5a 52 5h a5 8a 87 
81 31 36 58 38 43 54 56 52 15 
18 58 15 14 12 16 31 36 31 37 
3h 13 54 16 36 25 23 26 36 73 
56 75 35 83 84 34 53 57 45 37 
43 53 45 84 58 35 34 83 43 53 
a5 48 4a 45 a5 85 3a 35 38 58 
a8 73 3a 73 a3 4a 41 34 37 21 
21 28 73 72 43 42 4h 32 3h 87 
43 78 74 73 84 a7 48 4a 45 a5 
85 14 58 7a 41 85 74 7h 58 a4 
47 2a 74 27 28 2h 78 17 a8 71 
37 1a 73 17 a7 1a 13 21 72 a3 
27 12 1a 1h 71 73 57 13 51 71 
67 63 73 a7 27 12 15 31 25 32 
12 31 63 16 21 23 52 13 51 21 
32 36 26 32 5a 23 52 54 24 12 
a4 21 32 5a 15 23 42 51 45 25 
12 15 31 25 32 12 61 62 12 61 
63 13 21 23 13 21 26 52 16 51 
21 52 54 15 12 31 52 35 15 31 
63 16 51 53 25 13 21 51 35 24 
62 32 52 15 14 21 54 35 12 31 
51 25 21 51 35 26 12 16 26 12 
15 61 62 65 12 61 63 13 21 25 
23 42 15 41 21 52 53 23 12 14 
51 24 52 12 31 56 35 15 21 26 
52 51 35 21 32 52 15 12 52 35 
16 21 26 16 21 53 45 12 41 51 
25 23 12 53 45 21 42 52 15 12 
31 52 35 15 61 65 15 61 63 13 
51 53 13 51 56 25 16 21 51 25 
24 12 15 31 25 32 12 31 63 16 
21 23 52 13 51 54 65 14 61 51 
35 24 62 31 51 35 26 12 36 21 
32 56 15 16 56 15 23 42 51 45 
25 12 13 51 23 42 15 41 21 52 
51 35 21 32 52 65 62 52 65 63 
53 25 23 53 25 26 12 56 15 25 
a2 42 5a 51 35 36 56 35 a1 53 
25 5a 45 24 12 a4 5a 15 25 12 
14 51 52 35 12 31 51 65 61 51 
65 63 53 15 13 53 15 16 21 56 
25 15 31 24 62 32 12 51 54 25 
14 31 52 35 15 21 25 15 31 26 
52 56 26 52 13 41 25 42 12 51 
53 25 13 41 52 45 15 21 25 32 
15 31 21 62 61 21 62 63 23 12 
13 23 12 16 51 26 52 12 51 54 
25 21 32 51 35 56 45 26 42 52 
45 a4 2a 25 32 a5 23 12 2a 12 
15 31 25 32 12 31 a5 13 61 62 
12 31 1a 21 26 16 31 a1 2a 21 
32 a1 23 62 61 21 42 6a 24 62 
a2 1a 12 a2 1a 16 a6 2a 26 a6 
2a 21 32 a1 23 62 61 21 42 6a 
24 62 a2 1a 12 a2 6a 63 a3 2a 
21 a1 2a 23 12 a3 21 32 1a 23 
12 23 12 32 31 21 23 12 23 12 
a3 21 32 31 21 32 2a 32 a2 1a 
12 a2 1a 13 a3 2a 23 a3 2a 21 
32 a1 23 12 3a 21 32 21 32 12 
13 23 21 32 21 32 a1 23 12 13 
23 12 2a 12 a2 1a 16 21 a6 12 
31 32 12 31 36 16 21 26 16 21 
23 52 13 51 21 42 5a 24 52 54 
24 12 a4 21 32 2a 12 14 31 24 
32 12 31 a2 13 21 2a 23 42 a3 
24 32 12 31 5a 25 13 41 52 65 
62 52 45 15 61 63 13 21 23 13 
a1 2a 26 52 54 35 24 32 36 26 
32 56 45 a2 54 35 5a 35 a5 1a 
61 62 12 61 65 15 21 25 15 61 
63 13 21 23 52 13 51 13 61 23 
62 67 27 52 5h 17 51 57 35 17 
31 51 35 23 12 15 31 25 32 12 
51 52 12 31 73 17 21 25 15 21 
23 52 51 21 32 52 15 12 52 35 
73 57 25 21 51 25 23 42 37 57 
15 17 24 62 57 65 25 32 a6 23 
52 1a 61 25 62 6h 6h 6h 8h 7h 
8h 7h 8h 7h 4h 3h 4h 3h 4h 4h 
8h 7h ah 8h 7h 8h 7h 7h 7h 1h 
5h 6h 8h 3h 4h 8h 3h 4h 8h 7h 
4h 7h 7h 8h 2h 5h 8h 
