2
43 84 5a 7b 71 51 5h 21 23 72 
71 a5 7a 73 b7 8b a7 67 6h 8a 
87 81 a7 6a 6h 3h 67 68 46 48 
b4 1b 68 16 b6 1b 17 a7 6a 67 
a7 1a 16 a6 8a 8h 37 3h 1h bh 
12 5b 52 b5 2b 24 b4 54 1b 45 
15 1h ah 7h 41 42 12 14 73 31 
24 3a 3h 3h 6h ah 17 42 31 63 
86 24 3a 68 42 36 24 a6 42 b3 
24 8a 42 8b 24 28 48 42 82 84 
24 58 42 52 54 24 84 68 63 83 
26 28 68 46 48 58 a5 4a 42 a2 
1a 81 82 62 86 84 64 38 36 86 
28 24 84 68 63 83 26 28 68 46 
48 18 b1 51 25 6b 26 28 2h 2h 
2h ah bh 3h 3h 4h 3h 5h 32 3h 
45 46 56 13 45 4h 4h 3h 4h 7h 
1h 7h 4h 7h 8h 7h 8h 7h 8h 7h 
8h 8h 2h 7h 7h 6h 7h 5h 6h 7h 
6h 
