3
7a 7b 73 1c 13 16 26 21 b2 5b 
52 51 b5 71 7b 7h 6h b6 31 3h 
a7 27 15 2b 2a c2 27 2c 25 5h 
6h c8 2c 51 a2 4a 48 b2 15 4b 
43 64 c6 51 43 4c 4h 1h 3h 1h 
5h 3h 3h 15 1h 3h 1h ch 72 64v2 
3c b3 4b 4h 54 5h ah 1h 1a 1h 
2h a5 21 17 51 53 6a 65 6h 72 
13 1h 76 26 b1 c7 3b 3c 3h 2h 
a6 1a b1 4b c4 14 a1 2c 2a a2 
1a c1 5c 12 62 35v2 31 3h 53 5h 
c5 3c b3 7b a7 1a b1 5b c5 1c 
a1 7a 67 6h 6h 8h a6 58 b5 27 
2h 5a 72 85v3 87 8h 48 5b 54 5h 
c5 b4 84 8c 8b bh 5h 6h 3h ah 
7h 1h 4h 2h 4h 2h 4h 2h 4h 2h 
ch 4h 2h 
