1
16 72 3a 35 78 43 48 4h 74 83 
14 1h a4 38 7a 78 75 32 56 58 
35 3h a7 17 71 56 41 82 5a 35 
a7 28 25 85 23v2 83 68 6a 6h 1h 
26 a6 86 7a 14 68 12 17 86 17 
1h a1 27 21 2a 23 2h 6h ah 2a 
47 41 a2 4a 4h 8h ah 6a 6h 43 
a4 2a 65 6h 71 62 68 a8 17 52 
53 23 2a 87 a5 8a 62 68 6h 6h 
ah 82 8a 28 35 3h 1h 82 a6 7a 
7h 28 26 86 82 16 a8 4a 12 53 
62 a4 35 72 3a 3h a1 4a 76 26 
51 a4 6a 6h 5h 2h a7 8a 53 5h 
62 6h 5h 6h 5h 6h 5h 6h 13 58 
5h 4h ah 3h 7h 3h 8h 3h 3h 2h 
3h 2h 2h 3h 3h 2h 3h 2h 2h 3h 

