1
4h 3h 7a 51 84 57 56 5h a6 8a 
8h 58 28 28 57 25 2h 3h 2h 2h 
38 37 38 26 32 3h 2h 6h 83 82 
84 24 a2 34 8a 83 a3 8a 82 84 
a8 3a 38 a8 7a 75 73 53 57 37 
a7 75 73 53 65 5a 65 62 52 75 
a2 57 35 62 53 65 5a 35 37 57 
65 62 64 76 73 63 76 72 62 36 
32 62 16 a4 61 86 3a 13 14 1h 
34 13 35 83 63 76 86 a8 67 3a 
76 36 73 a6 7a 7h 4h 4h 2h 4h 
8h 2h 4h 4h 17 18 1h 1h 8h ah 
6h 5h 41 48 71 47 87 18 17 41 
87 48 16 41 51 65 7a 56 45 4h 
8h 4h 5h 4h 1h 2h 2h 7h ah 2h 
7h 2h 7h 2h 6h 2h 6h 2h 6h 1h 
6h 2h 2h 3h 
