1
1h 27 15 1a 21 21 a1 5a 51 5h 
21 52 5h 53 5h 25 23 53 25 2h 
12 a1 8a 86 85 85 82 a2 84 38 
35 85 48 2a 21 a1 84 38 5a 58 
53 83 85 35 38 a5 1a 83 12 a2 
1a 18 14 84 a4 28 24 84 5a 53 
a3 18 2a 12 82 18 17 87 28 27 
42 87 48 28 42 a4 2a 82 84 78 
24 72 82 18 16 31 35 85 a8 1a 
21 27 42 48 28 42 17 41 21 72 
42 47 27 24 72 24 82 81 21 52 
53 23 72 42 47 27 24 72 24 12 
18 28 12 14 71 24 72 12 81 84 
14 21 27 42 17 61 24 62 12 41 
48 18 61 67 16 41 47 17 81 87 
17 21 26 72 78 28 72 74 16 41 
21 72 47 24 82 81 21 72 47 24 
32 35 25 72 47 24 12 18 28 72 
47 24 12 17 41 71 74 21 82 81 
21 52 53 23 72 42 47 27 24 72 
24 12 18 28 12 14 24 72 12 41 
42 12 41 47 17 81 82 12 71 74 
14 31 35 15 41 47 17 21 28 18 
71 74 14 21 24 14 81 84 14 51 
a5 1a 21 27 42 48 28 42 41 21 
72 42 47 27 24 72 24 82 81 21 
52 53 23 72 42 47 27 24 72 24 
12 18 28 12 14 17 41 21 72 47 
24 82 81 21 72 47 24 32 35 25 
72 47 24 12 18 28 72 47 24 12 
17 41 71 74 21 82 81 21 52 53 
23 72 42 47 27 24 72 24 12 18 
28 12 14 24 72 12 41 42 12 41 
47 17 81 82 12 71 74 14 31 35 
15 41 47 17 21 28 18 71 74 14 
21 24 14 81 84 14 51 a5 4a 48 
a8 4a 42 a2 4a 47 a7 8a 82 a2 
7a 74 a4 8a 58 53 83 a8 4a 47 
a7 2a 28 a8 7a 74 a4 2a 24 a4 
8a 84 a4 8a 28 27 42 87 48 28 
42 47 27 82 87 48 27 42 82 38 
35 85 28 24 72 84 78 28 72 74 
24 82 84 78 24 62 87 58 53 83 
58 26 52 82 78 56 75 85 28 26 
72 86 78 28 52 58 75 28 72 52 
75 7h 76 16 71 72 7h 47 1h 41 
71 47 48 78 17 18 41 78 47 42 
46 17 41 47 63 1h 31 8h 16 31 
a7 13 61 1a 61 36 13 81 a3 18 
71 81 87 17 18 71 36 8a 63 17 
61 31 36 16 13 81 a1 63 8a 71 
82 36 a2 63 7a 72 36 a2 63 7a 
12 78 17 27 21 71 72 17 72 17 
27 21 71 36 a8 72 17 72 17 18 
61 13 61 27 28 78 72 67 17 31 
1a 71 76 87 16 21 78 27 17 81 
a6 17 61 13 81 82 12 71 12 71 
78 67 21 28 18 12 61 82 16 81 
76 37 18 31 63 73 27 16 81 71 
37 28 18 73 67 12 61 71 67 82 
76 37 1a 73 27 16 81 71 67 28 
a7 82 6a 12 18 71 28 17 61 37 
a1 82 3a 31 a1 28 3a 82 36 31 
1h 28 2h 71 a6 17 1a 16 a6 76 
7a 71 47 a1 61 4a 16 4h 64 6h 
41 64 2h 46 14 16 46 14 4h 14 
4h 64 2h 46 84 1h 61 48 64 14 
a1 4a 46 84 a6 48 64 8a 46 84 
a4 8a 82 8h 8h a2 8a 38 31 38 
1h 18 41 42 64 12 61 41 64 a3 
46 14 16 21 46 34 1a 61 43 64 
14 21 a1 5a 15 12 41 52 65 14 
61 51 45 41 64 51 65 45 14 68 
41 64 84 86 46 48 14 68 41 54 
58 15 48 14 54 15 18 41 45 64 
15 61 41 64 62 65 5h 6h 56 2h 
65 26 6h 56 6h 56 58 25 68 26 
56 25 6h 65 26 23 63 56 53 25 
63 26 56 15 27 32 14 61 54 35 
25 32 16 51 52 65 35 67 26 16 
51 21 62 61 36 21 32 62 16 57 
15 65 16 17 21 67 56 57 85 67 
86 56 85 12 61 65 86 1h 51 56 
85 84 54 85 1h 61 64 86 2h 56 
45 15 61 68 46 18 51 56 85 45 
48 58 23 62 12 41 85 81 51 61 
26 84 54 15 62 16 56 25 26 32 
1h 23 62 52 65 64 36 54 25 24 
72 54 75 25 72 63 56 52 75 18 
21 61 36 76 56 15 12 61 52 65 
15 21 63 86 1h 21 25 32 15 71 
68 76 26 52 13 51 21 52 53 65 
23 12 13 81 23 42 67 46 26 72 
6h 27 42 62 76 6h 26 24 32 64 
36 26 32 18 61 62 36 12 31 65 
26 51 53 25 65 16 26 52 56 85 
2h 62 58 65 25 32 62 56 52 85 
13 21 23 13 41 63 46 58 45 48 
65 36 15 31 32 12 51 62 56 58 
35 37 83 57 85 35 83 48 65 26 
15 21 34 73 23 13 51 63 56 27 
52 58 75 28 72 52 85 84 65 36 
15 31 32 12 51 62 56 16 21 54 
85 1h 61 64 26 14 21 61 26 32 
13 16 41 62 32 43 13 21 58 45 
48 3h 35 23 13 51 58 35 18 21 
36 56 12 83 3h 65 61 23 51 85 
62 46 1h 13 81 51 85 3h 58 15 
16 21 56 85 54 12 48 3h 65 81 
5h 63 25 27 57 14 34 6h 72 75 
41 43 57 27 13 3h 76 75 65 34 
5h 42 57 24 8h 41 1h 76 6h 7h 
4h ah 
