2
5h 1h 14 86 5a 5b 53 63 53 13 
81 81 84 87 25 82 b8 5b 58 b5 
58 a5 45 1b 54 1a 14 81 a4 18 
5a 65 81 b4 18 1b 12 17 61 52 
65 15 61 7h 76 3h 67 6h 6h 36 
32 62 36 7h 63 46 b1 64 36 81 
63 56 6b 76 73 18 3h 81 b5 18 
6b 36 81 63 26 23 63 76 a7 67 
36 32 62 46 6a 46 47 67 46 a7 
18 6a 46 a6 81 4a 47 42 18 b4 
81 5b 57 45 b7 18 47 57 45 4b 
81 4h 34 18 43 14 84 81 41 48 
34 18 43 b4 81 5b 35 18 53 15 
85 81 51 58 35 18 53 a5 81 4a 
34 18 43 64 65 36 45 24 63 26 
46 34 24 23 43 42 64 63 26 81 
62 56 43 54 64 36 18 63 16 86 
81 61 68 36 18 63 b6 81 5b 35 
18 53 a5 81 6a 36 18 63 16 86 
81 61 68 36 18 63 b6 81 4b 46 
24 b6 18 4b 24 b4 81 2b 25 18 
b5 81 4b 45 24 54 72 18 b4 27 
81 2b 18 2h 21 52 3h 25 3h 52 
7h 25 3h 52 7h 25 4h 34 35 45 
7h 4h 42 54 52 42 74 73 43 24 
25 45 84 18 41 34 37 47 54 52 
42 74 73 43 a4 74 3a 34 37 47 
a7 3a 3h 34 36 74 3h 23 25 35 
73 3h 23 3h 43 47 37 43 46 54 
36 53 52 32 73 76 36 23 25 35 
73 45 74 34 53 2h 72 4h 42 54 
34 53 bh 35 43 45 74 35 73 43 
54 4b 54 4h 54 bh 45 74 78 71 
57 7b 27 6h 23 82 73 57 52 35 
72 37 57 25 21 51 85 6h 25 72 
73 57 23 82 75 67 6h 73 57 52 
35 72 37 57 25 5h 75 73 27 53 
65 28 62 52 35 78 67 74 37 57 
25 24 72 75 37 25 32 72 57 52 
72 47 73 47 53 25 23 53 25 27 
32 57 35 25 72 37 23 52 57 35 
27 32 52 75 72 52 75 73 53 25 
23 53 25 27 32 57 35 25 72 37 
23 52 57 35 27 32 52 75 72 34 
23 53 25 24 32 35 73 25 72 32 
53 52 32 43 37 43 57 25 27 57 
25 23 82 1h 53 75 28 72 52 75 
37 53 25 27 32 57 35 25 72 75 
25 72 73 23 52 53 23 52 57 35 
27 32 52 75 37 53 25 27 32 57 
35 25 72 75 25 72 73 23 52 53 
23 52 57 85 7h 58 35 74 37 57 
35 23 72 75 37 25 32 72 57 52 
36 23 73 27 52 35 37 23 57 45 
25 82 35 73 75 35 63 8h 34 53 
57 37 53 54 34 73 74 56 45 35 
43 74 57 53 45 35 46 36 53 73 
47 4h 34 35 63 45 64 34 53 54 
34 63 76 47 45 75 47 43 54 73 
57 47 34 53 75 73 53 1h 37 35 
75 17 3h 43 54 53 65 43 14 74 
17 27 42 27 32 56 35 25 32 36 
26 72 4h 74 78 67 48 64 74 57 
54 85 25 62 4h 36 53 58 45 38 
63 26 54 8h 82 85 51 21 6h 15 
12 52 45 43 24 53 42 1h 25 28 
58 bh 34 31 82 85 13 43 25 7b 
51 58 18 bh 34 32 87 85 23 43 
75 3b 31 52 58 28 13 3h 84 87 
36 78 48 ah 85 82 61 52 16 2a 
63 28 36 8h 67 6h bh 7b ah 8a 
bh ah 
