2
2h 16 2a 2b 24 13 a1 14 67 36 
32 17 1h 24 1a 14 32 62 b1 43 
a1 78 5b 5a 52 a1 5a 51 1h 3h 
34 a5 52 3a 35 32 3h a3 5a 15 
1h 3h 2h ah 6a 63 6h 5h 4h 1h 
87 65 61 a6 5a b1 4b 4h b5 8b 
85 a8 6a 28 2h b6 43 4h 1h 21 
6b 46 48 67 46 48 64 a6 26 16 
1a b1 74 a2 62 34 82 8b 83 83 
8a b8 1b 63 28 a1 31 21 23 13 
42 b6 5a 5b 76 a5 7a 7h 72 b2 
47 1b 1h 52 b5 74 7b 78 7h 2h 
8h 2h 8h 2h 8h 2h 8h 2h 8h 3h 
bh 3b 3h a7 53 b3 4a 4h 3h 31 
4b 4h 4h 67 42 45 5h ah 8h bh 
1h 7h 3h 1h 7h 2h 3h 1h 7h 6h 
1h 
