2
2a 2b 26 b4 a2 7b 1a 17 a5 3a 
32 32 36 13 43 68 b1 42 32 84 
86 23 84 86 8b a8 85 18v2 1a 1h 
a5 81 21 24 78v2 2a 2h 72 b2 a2 
31 7b 7a 74 a8 25 13 14 37v3 74 
53 71 62v4 6a 63 41 a2 6a 67 6h 
a6 35 7a b7 3b 36 14 a3 7a b7 
3b 57 a3 63 87 b6 75 41 56 42 
12 14 57 53 5a 5b 58 51 5h 5h 
4h 4h 7h 73 17 b8 51 a8 1b 63 
b1 3a 3b 3h 4h 7h 18 46 4h a1 
6a 58 37 b6 a5 73 1b 38 b1 6a 
87 25 2h a6 1b 24 83 b6 7a 7b 
7h b1 a7 6b 6a b6 71 13 38 54 
a7 42 4h 3h 41v5 4b 4a 42 4h 2h 
6h 2h 7h 2h bh 2h 8h 2h 8h 2h 
8h 2h ah 1h 8h 2h 8h 2h 3h 1h 
8h 2h 3h 1h 8h 2h 3h 1h 8h 2h 
3h 1h 8h 2h 
