2
6h 1a 1b 16 1h b3 27 74 84 87 
18 5b 5h 15 12 a1 51 5a 52 a7 
5a 78 b2 3b 35 a3 13 87 b5 23 
21 2a 21 78 32 21 a1 52 75v2 7b 
7h 4h 7h 6h 72 13 48 84 85 8a 
87 b8 81 6b 86 62 a7 86 b8 76 
47v3 8a 52 4b 48 45 46 26 a4 8a 
b8 62 5b a5 b5 4a 4b b4 26 76 
72 a7 5b 5a a5 74 62 b5 65 6h 
6a 46 61 37v7 3b 34 14 17 36 23 
2h 7h b1 6b 36 3h 3h 8h ah 5h 
5h 7h 5h 7a 7h 43 4h 58 5h 14 
1h 8h 7h 5h 28 2h ah 4a b4 8b 
54 18 15 1h 4h 1h 4h 85 b8 57 
1b 1h a5 b1 3a 71 7h 4h 17 23v7 
2h 6h ah 8h 5h 3h 7h 3h 7h 3h 
7h 3h 7h 3h 7h 3h 7h 3h 
