2
5a 15 7b a7 53 b5 8a 8b 8h b2 
a2 47 5b 5a 56 a3 b3 58 5a 61 
74 15v2 1b 1h 1h 7h bh 47 56 82 
1b 16 46 28 a1 5a 76 a4 85v2 52 
67 1a b1 87 21 15 3b 38 3h b8 
51 24 2b 23 15 25 b2 62 83 a8 
64 26 2b 64 74 b2 3a 3h 76 76 
8b 37 35 b8 31 2b 42 4h 46 38 
23 36 32 38 75 a3 72 52 64 b7 
3a 51 21 58 46 18 47 4b 43 45 
4h ah 6h 8h 3h 2h 82 25 b4 51 
18 67 7a 7b 73 7h bh 74 64 81 
47 62v4 65 64 6h 5h 6h ah 6h 7h 
1h 3h 8h 1h 7h 8h 1h 2h 7h 8h 
1h 2h 7h 8h 1h 2h 7h 8h 1h 2h 
7h 8h 4h 1h 7h 8h 4h 1h 7h 1h 

