2
6a 61 6b 65 a6 81 83 16 1a b1 
2b 23 42 41 83 73 84 82 a8 68 
61 63 4a 46 34 64 a4 81 37 32 
3h 72 5a 56 5h 3h 5h a6 8a 38 
3h 32 b3 8b 42 58 75 7h 3h 4h 
ah 1a 1h 4h 31 73 a1 3a 73 7h 
2h 1h 13 1h a7 8a 67 48 46 b4 
8b 28 2h 26 2h 2h 1h 1h 5h ah 
41 31 2a 2h 2h 7h 54 25 b3 a4 
5b 5h b5 6a 6b 76 7h a7 32 b3 
4a 4b a4 8a b8 3b a3 5a b5 75 
48 2b 27 24 26 72 17 1h b2 3b 
53 5h 24 b5 3b a3 2a 24 2h b2 
43 4h 1b 1h 8h 83 b8 7b a7 47 
4a 64 6h b6 2b 72 7h a7 8a b8 
2b 12 1h b7 3b 3h 4h 7h 1h 14 
1h 5h 6h 8h ah 4h 2h bh 1h 3h 
1h 7h 
