3
2h 4h 54 5a 15 24 7b 37 52 12 
3c 31 35 a3 c3 36 3h 3h 8a 8c 
8h c2 8c 83 38 b3 48 a4 3b 73v2 
57 35 b3 63 1a 1b c1 6c 67 b6 
26 a2 87 48v3 4b 4h 4a 4h 7h 3h 
87 41 c4 78 7c 7h a1 4a c4 84 
87 b8 4c 4b a4 34 c7 3a 28 15 
a3 2c 24 51 2a 25 32 26 46 b3 
a2 72 71 21 7b 7h 3h b5 75 c3 
83 12 6a 6h 63 7b 15 36 a7 4c 
38 51 68 c4 21 2h 4h 6a 6c 62 
86 b4 2b a2 7a b4 c4 67v3 6h 1h 
ah 7b 7c 7a c8 a2 82 83 24 1c 
1h bh 57v6 5h 16 48 1a 12 2h ch 
ah 1h 6h 8h 6h 3h 7h 8h 6h 3h 
7h 8h 6h 3h 7h 8h 6h 3h 7h 8h 
6h 3h 7h 8h 6h 3h 7h 8h 6h 
