2
8h 68 4a 14 7b 71 26 a5 b5 7a 
7b a7 16 31 3a b3 a4 24 52 56 
76 3b 3a 31 73 83 b7 5b 5h 15 
17 38 57 51 a5 15 75 71 87v2 51 
38 83 73 15 38 7a b7 83 51 a8 
64 38 15 3b 3a a3 51 83 7a b7 
38 87 15 83 78 83 65 a7 6b 64 
4h 7h 38 45 b7 6a 56 5h 7b 83 
54 64 a7 45 27 b6 16 1a 1b 1h 
1h 5h b8 72 54 a1 27 81 8b 8a 
81 82 b8 72 45 8b a3 27 23 23 
2a 28 2h 8h b2 a7 12 32 5b 5h 
b8 1a 72 7h a1 8b 31 56 48v4 4h 
4h bh 2h 8h 2h 7h 8h 8h 4h 2a 
2h 8h 64 6h 72 1b 1h 21 45 4h 
5h ah 5h 1h 5h 1h 5h 1h 6h bh 
5h 1h 6h 5h 1h 6h 2h 5h 1h 2h 
5h 1h 6h 2h 5h 
