2
6a 6h a1 7b 7a 78 ah 57 4a 84 
b7 81 a6 41 17 1b 15 8a 8h 74 
b8 1b 71 25 78 18 17 12 1h 4h 
47 23 25 b2 4b 43 4h 12 a1 61 
4a 41 64 64 62 14 a6 26 24 2h 
bh 8h 78 2a 2h 7h 6h 87 8b 8h 
4h 81 8h 64 b8 52 73 7b 7h 25 
b6 2b 38 3h a2 42 6a b6 41 56 
7b a7 65 21 37 35 75 2a 32 3h 
26 57 31 a2 75 7a 37 3h 7h 87 
8h 1h 85 38 3h 12 68 14 b3 5b 
5h 5h 4h 56 5h 68 85 46 4h 14 
64 58 b6 3b a8 85 b3 7a 24 58 
a7 4b 4h 8a 8h b2 6b a6 7a b7 
4b 4h 5h 5h 41 4h 4h 5h a4 5a 
5h 3h 4h ah 7h 2h 6h bh 8h 1h 
5a 53 3h 8h 1h ah 8h 1h 
