2
5h 8a 6b 6h a3 8a 68 64 63 61 
56 b4 8b 87 8h 58 b7 5b 54 58 
25 64 26 23 73 b2 6b 76 36 37 
67 63 86 46 48 68 73 64 a6 84 
5a 85 45 37 48 58 73 54 25 26 
37 56 84 35 75 48 73 53 57 84 
85 45 48 58 54 84 25 37 b2 3b 
52 b5 2b 75 48 b2 5b 73 84 b3 
57 45 6b 58 15 37 b6 51 25 2b 
84 a2 73 52 8a 37 a5 3a 45 48 
58 a3 5a 45 a5 85 8a 84 73 a4 
3a 54 a7 8a 86 a8 5a 58 25 a8 
5a b5 7b a2 5a 35 73 b3 6b 57 
48 a5 25 7a b6 8b a7 3a b8 2b 
a7 5a 52 75 84 a2 48 57 25 4a 
73 52 45 a5 85 8a 84 a4 54 5a 
37 58 35 a8 75 73 48 53 57 45 
37 54 65 4a 73 56 45 a5 85 8a 
84 a4 54 5a 58 75 35 37 57 53 
75 53 45 48 37 58 35 a4 53 15 
2a 51 25 a5 84 3a 48 b2 84 3b 
48 38 34 84 b4 52 7b 25 a4 52 
7a 25 b4 52 1b 25 a7 52 2a 47 
b1 74 2b 47 52 45 a2 75 74 54 
57 45 57 45 75 74 54 57 15 5a 
15 a5 47 3a 74 37 37 3h 74 14 
36 38 13 53 14 14 17 51 45 5h 
45 3h 54 15 31 43 47 37 13 51 
a5 3a 13 16 71 74 14 71 36 73 
13 71 78 18 71 72 52 75 72 7h 
47 43 73 47 48 78 47 ah 74 37 
38 78 47 3a 37 43 a7 34 73 4a 
37 43 a3 2a 25 a5 3a 34 73 a4 
37 43 7a 34 73 74 27 34 23 73 
47 a7 2a b2 7b 74 27 b4 72 47 
2b 74 27 25 42 b7 24 62 2b 62 
b2 6b 65 b5 2b 25 42 b5 24 62 
4b 26 42 b2 3b 37 43 b7 34 23 
24 62 34 63 23 42 67 46 26 42 
6b 62 46 b2 64 26 4b 62 46 b6 
3b 37 43 b7 34 23 4b 32 43 b3 
4b 41 b1 4b 47 a4 6a 63 46 a3 
64 26 4a 62 46 a6 46 4a 47 54 
ah 57 4a 45 24 5h 75 8h 42 54 
82 2h 45 74 5h 47 84 4h 24 48 
24 23 52 84 83 43 48 54 38 45 
34 25 32 42 84 2h 48 54 23 52 
42 54 7h 27 24 72 4h 27 52 42 
54 56 25 24 32 54 35 25 42 ah 
