3
1a 1b 1c 1h c7 b7 3c 38 63 6b 
c6 68 5c 51 57 b5 28 27 24 2b 
a2 6a 61 6h 25 a6 86 2a c2 43 
82 62 6c b6 34 56 51 61 6b a6 
43 5a 52 b5 15 8b 82 85 34 a6 
35 28 38 45 38 c3 78 6a 6c 23 
b6 26 36 2b c2 a2 87 12 3c 3a 
3h 7h 5h 78 b3 8b 8h a3 4a 4h 
bh 5h 7h 87 c3 21 4b 54 a4 b2 
3c 3a 3b b3 78 12 a3 7b 7a 7h 
72 c3 7c 47 c1 21 51 52 7c 75 
7h 5h c7 41 86 6c 6h 4h 4h 7h 
ch 4c 64 a6 4a 4h b5 63 8b 87 
18 7h 1h 3h 14 1h 1h 42 37 34 
3h 4h 1h 3h 1h a7 1a 14 1h ch 
8h 5h 8h 7h 2h 7h 2h bh 2h 1h 
2h 6h ah 2h 6h 4h 3h 2h 6h 3h 
2h 
