0
1h 7h 5h 5h 5h 27 67 21 31 82 
81 85 8h 68 48 62 6h 63 6h 56 
53 63 43 76 78 75 47 68 76 71 
61 46 42 71 67 56 51 61 76 75 
65 75 16 87 86 81 61 68 36 71 
47 37 34 74 73 27 43 63 16 18 
68 26 76 87 81 71 37 34 74 27 
24 74 17 18 78 67 64 86 74 81 
37 61 36 76 37 3h 1h 4h 1h 4h 
8h 8h 73 67 27 2h 63 16 18 1h 
68 76 73 63 17 15 75 16 17 67 
56 57 67 56 51 61 76 71 61 76 
75 65 47 46 76 17 15 75 37 47 
43 73 74 67 63 56 51 73 87 61 
86 81 61 46 71 37 64 36 34 64 
36 74 37 67 38 36 86 83 78 76 
86 47 48 78 46 47 67 64 74 76 
87 84 74 68 67 63 73 57 83 48 
75 47 43 87 48 38 34 84 83 78 
43 73 83 47 48 46 14 86 76 38 
41 37 87 36 34 78 64 63 74 84 
67 37 38 78 73 83 67 87 37 38 
36 86 76 78 73 68 63 87 86 38 
76 47 68 63 74 83 86 47 48 43 
78 46 36 57 54 74 87 86 76 18 
17 87 48 45 14 85 78 74 17 84 
15 75 48 47 45 87 64 68 48 63 
64 34 36 46 43 63 74 75 36 45 
37 67 84 87 38 68 47 84 63 86 
46 18 54 63 81 78 45 74 73 76 
57 36 84 58 78 47 46 34 76 17 
43 14 74 87 85 75 48 17 47 24 
87 18 21 62 6h 1h 3h 17 1h 4h 
1h 1h 64 14 71 7h 63 24 72 78 
36 47 28 63 42 43 72 54 57 47 
34 36 46 24 26 46 32 3h 74 75 
45 37 34 3h 1h 3h 5h 5h 6h 5h 
6h 5h 6h 2h 8h 6h 7h 5h 5h 6h 
5h 5h 5h 3h 6h 8h 6h 8h 4h 
