2
12 4a 1b 48 71 a4 1a 13 84 a3 
8a 83 21 81 b1 2b 21 26 2h 2h 
56 56 72 82 86 82 72 b8 7b 78 
73 a7 47 4a 43 a3 8a 84 58 a4 
8a b8 5b a8 5a 5h 25 2h b2 52 
15 1b 14 b4 54 1b 15 16 1h 73 
71 a7 2a 57 b7 2b 25 b5 a5 2b 
2a 2h 5h a2 b2 4a 4b 47 b7 a7 
4b 5a 52 45 b5 4b 48 a2 4a 4h 
2h 3h b4 5b 54 b4 2b 25 28 a2 
58 65 6a b8 6b 62 b2 a2 6b 6a 
6h 8h 1h 52 65 6h 6h 5h 8h 8h 
35 3h 32 12 31 52 35 15 b1 3b 
31 64 36 3h 2h 3h 3h 3h 3h 2h 
8h 8h 5h 5h 2h 2h 8h 4h 7h 2h 
2h 2h 4h 2h 4h 4h 7h 7h 1h bh 
7h 1h 7h 7h 6h ah 
