2
3a 13 a7 2b 12 b4 4a 4b 45 b1 
a1 74 7b 76 75 7a 73 a5 67v2 6a 
63 61 6h b6 68 47 46v2 4h 4h 43 
42 53 5b 5h 1h 5h 7h 1h 7h 67 
13 14 18 61 56 45 b4 54 5b 71 
a5 b5 7b 12 85 8a 87 58 a7 1a 
87 38 34 75 b1 57 84 8b 8h 21 
b3 8b 87 75 a8 6a b6 43 26 16 
57 8b 27 a8 1a 34 21 2h 25 15 
b1 2b 25 12 a1 43 6a 6h a1 8a 
65 57 34 3h 43 a8 b6 34 17 28 
38 7a 7b 71 7h a2 57 62 b1 21 
48 36v3 3h 3a 32 3h 3h 1h 8h 1h 
2h 8h 1h 4h 8h 7h 5h 1h 4h 8h 
7h 4h 8h 7h 5h ah 8h 7h 5h 8h 
7h 6h 5h 8h 7h 6h 5h 8h 7h 6h 
5h 8h 
