2
4a 7b 74 72 81 87 b8 42 5b 57 
84 81 41 87 b8 14 86 8b a8 b2 
13 1a 1b 14 1h bh a2 61 6b 61 
65 6a 68 43 a2 b6 8a 8b 16 a8 
51 5a b5 85 34 14 72 47 a8 41 
43 61 73 27 34 25 7b 7h b6 75 
7a 38 1b 1h 41 a7 6a 14 57 53 
73 a6 75 52 b7 6a 25 35 41 48 
53 46 6b 18 a6 35 7a b7 6b 53 
46 47 46 43 b3 81 87 86 76 35 
16 17 21 2b 24 2h 2h 5h ah 2h 
2h 5h 5h 6a 6h 5h 6h 3h 72 7h 
67 6h b1 5b 5h 6h 5h 5h 6h 27 
b3 15 1h 51 68 5b 52 5h ah 4h 
7h 3h 86 3a 35 34 3h 7h ah 7h 
3h 7h 4h 1h 6h 7h 3h 2h 1h 6h 
bh 1h 8h 5h 6h 1h 8h 6h 1h 
