3
3a 3b 3c 35 41 b4 2b a2 53 43 
47 17 5a 5h 6h 53 51 58 78 45 
4h 47 87 45 c4 6c 6h 78 61 64 
87 67 c6 78 b8 5c 5b c5 6c a6 
5a b5 a5 87 2b 2a 2h 24 62 14 
a6 c6 35 26 1a 21 2c b2 62 7b 
7h c7 b7 31 51 26 5c 5b b5 62 
53 1b 15 1h c3 26 5c a5 45 2a 
c2 54 b2 78 7h 5c 87 c5 1b 1h 
31 8c 8h 48 45 85 84 84 81 8h 
7h 86 28 2h c2 8c a8 2a b2 12 
13 16 36 1b 71 26 17 1h 2h ah 
3h 1a 1h 5h 32 31 1h ch 7h 6h 
7h 6h 7h 6h 7h 6h 7h 6h 4h bh 
73 7h 6h 7h 4h 6h ah 5h 4h 6h 
5h 8h 4h 6h 3h 2h 4h 7c 71 1h 
ch 6h 
