2
42 3a 3b 37 b3 43 4b 45 47 46 
15 a4 27 54 64 34 68 6a 61 68 
6h 7h b6 3b 63 72 b6 46 73 71 
23 64 5b 51 5h 7h 32 31 52 85 
74 67 58 56 b5 86 13 56 85v2 31 
8b 58 a8 5a b5 68 21 23 2b 52 
a5 65 b6 47 85 6a 26v2 25 2b 2h 
b6 28 58 48 45 a2 85 13 16 36 
1b 1a 12 ah 7h 1a 14 42 63 21 
b4 a4 1b 1a b2 58 64 a1 85 21 
2b 2a a2 12 58 62 34 85 7a 7h 
a1 43 6a b6 a6 1b 34 3a 3h a1 
41 7a 7h b7 3b 3h 3h 4h 8h ah 
4a 4h 42 b2 3b a3 24 75 34 42 
58 4a 4h 57 5h 6h a3 23 13 b4 
3a 3h 26 24 64 a1 62 34 8b 8h 
87 85 b6 3a 8b 8h 23 2h 82 8h 
ah 5h 8h 8h 1h 6h 4h 7h 4h 7h 
4h 7h 4h 7h 4h 7h 4h 5h bh 3h 
4h 5h 4h 5h 4h 2h 5h 4h 
