3
5a 5b 53 b8 4c 48 68 2b 24 23 
c2 25 21 21 b2 6c 56 65 2b a2 
56 5a 5h 7h 71 52 c5 45 4h 31 
42 7c 7h 76 7h 54 a7 3a 36 45 
37 36 b6 3b 83 54 38 3h 5h ch 
3h 43v2 4h 12 b4 3c 3b a3 5a c5 
23 4c 21 b4 54 12 c5 7b 7c b7 
5b a5 32 45 c4 74 17v3 12 3a 81 
84 a3 8c 8a 87 8h 1h 5h c3 1c 
1h 23 13 18 38 a6 56 83 c5 1a 
61 6h a4 32 5c b5 65 37 2a 2h 
6h 7h c3 5b 5c 64 27 c4 b4 72 
1c 1b 15 1h 7h 6h b4 a1 82 68v3 
6h 5h 3h ch 1h 46 4h 7h 8h 7b 
7h 65v5 6h 5h 2h 5h 2h 5h 2h 5h 
2h 4h 5h 2h 4h bh 2h 4h 7h 8h 
2h 4h 8h 2h 
