2
4h 26 32 3h 8a 83 8b a5 8a 82 
b2 8b a8 4a 58 48 45 46 4h 42 
34 16 18 17 1h 6h 1h 43 78 b6 
87 34 4b 34 78 b4 87 3b 78 38 
34 3h 53 1h 18 51 45 31 63 6h 
54 6h 68 63 64 62 3h 36 23 b4 
32 43 2b 34 23 b3 2b 24 2h b4 
3b 34 63 b4 36 43 6b 34 73 78 
68 56 b8 3b 73 73 76 26 25 23 
71 27 2h 2h 32 4h 53 25 62 4h 
26 32 8h 53 25 62 4h 26 32 8h 
53 25 62 4h 26 42 8h 26 42 6h 
24 32 8h 53 25 62 46 24 82 2h 
32 4h 53 64 25 42 4h 26 32 8h 
78 57 73 57 27 52 58 28 62 64 
24 62 67 46 27 42 62 46 43 24 
26 72 46 74 24 62 64 24 72 63 
46 43 63 46 42 34 62 36 46 24 
32 43 64 62 86 23 6h 26 43 24 
27 32 36 26 72 42 34 6h 43 24 
63 64 86 34 85 65 46 63 46 42 
54 62 56 46 34 6h 65 26 43 84 
81 41 54 41 24 64 86 27 42 47 
84 27 32 27 32 64 76 73 63 46 
48 74 24 72 68 46 42 84 62 86 
46 24 34 32 42 43 24 43 24 34 
32 42 15 5h 24 4h 23 4h 24 27 
62 47 34 26 12 51 75 45 34 2h 
52 24 72 52 35 4h 45 24 52 57 
35 75 73 57 47 24 25 62 68 56 
46 74 28 47 7h 62 84 27 12 65 
36 48 74 18 28 52 42 14 76 27 
25 12 42 75 2h 64 57 21 52 45 
26 75 8h 64 52 57 24 12 76 47 
76 87 45 64 45 64 78 57 56 76 
87 45 64 45 64 54 63 86 62 86 
7h 47 75 27 68 36 72 57 81 21 
74 57 76 17 4h 72 67 45 76 5h 
64 27 18 78 63 21 45 8h 57 86 
12 73 61 5h 14 48 21 37 3h 86 
15 58 8h 61 8h 14 1h bh 7b bh 
4b bh 3b bh ah 
