3
5a 5b 25 54 5c 53 58 a5 65 b3 
48 53 6a 6b 65 b4 7b 57 25 26 
52 48 15 84 64 68 48 56 a5 45 
24 62 76v2 78 67 47 46 76 b4 85 
4a 4b 41 67 25 c1 b4 a4 2c 2a 
2h 76 c2 a2 4b 4a 67 52 58 76 
28 a4 b4 6c 6b 6a b6 c6 67 16v3 
1h 13 1c 41 31 82 c4 a4 2b 2a 
2c 13 a2 b2 28 74 2b 73 c2 b2 
87 28 86 8a 8b 8c 85 43 b2 a2 
65 8a 82 a1 4b 4a 75 84 84 a8 
b8 57 56 76 75 38 c7 27 34 65 
3b 3a 3c 31 3h ch 8h 5h 6h 8h 
8h 3h 3h 6h 8h 31 56 5h 5h 6c 
6h 67 41 4h 4h 5h 4h 75 7h 4h 
7h 4h 7h 7h bh 7b 7h 12v8 1h ch 
2h 5h 2h 5h 2h 5h 2h 5h 2h 5h 
2h 6h 2h 4h 6h 2h 4h 6h bh ah 
4h 6h 
