2
15 14 7a 7b 76 75 71 a2 8a b8 
7b a7 41 74 13 6a 67 64 65 a7 
6a 67 6h b6 84 14 6b a6 51 58 
6a 56 54 5h 85 86 56 58 53 b3 
32 34 24 23 52 18 17 86 1b 15 
43 68 a1 5a b5 a5 2b 2a 27 86 
26 2h 62 a2 b2 34 68 67 87 35 
3a 37 3h 27 2b 26 72 7h b6 68 
27 3b 3h 7h 31 b6 45 41 78 4b 
42 43 3h 8h 4h 8h 1h 78 a3 4a 
4h b2 5b 5h 7h 1h 42 a4 87 8h 
1h 6a 84 b6 83 38 51 52 7b 73 
75 7h 7h 2h 7h 3h 54 48 b3 a5 
87 8b 8a 84 8h 6h 3h 1h 7h 1h 
7h 1h 7h 1h 2h 7h 1h bh 2h 7h 
1h ah 2h 7h 1h 4h 2h 7h 1h 5h 
2h 7h 1h 
