2
7h 48 5a 4b 41 b7 57 8b 83 84 
54 a4 8a b3 8b 81 84 b1 78 76 
86 78 7b 74 a7 8a b8 a8 6b 68 
6a b8 6b 63 64 67 b7 5b a7 8a 
87 a7 8a 86 28 a6 8a 58 28 52 
b5 2b 25 b5 8b 85 28 21 b5 25 
14 24 1b 12 b2 1b 15 b5 8b 18 
b8 2b 25 12 b5 15 2b 38 a2 3a 
32 a2 3a 3h 3h 7h 5h 76 7h b6 
3b 82 a3 8a 83 18 a3 8a 18 18 
b1 8b 81 58 5h b1 8b a8 7a 78 
a8 7a 72 67 6h 68 a2 6a 6h b6 
4b 46 4h ah 45 4h 2h 4h 2h 4h 
4h 3h 41 42 4h 7h 6h 8h 5h 8a 
8h 82 38 34 84 38 3h 3h bh 7h 
6h ah 5h 2h 5h 2h 5h 2h 5h 2h 
5h 4h 5h 1h 2h 2h 5h 8h 1h 4h 
5h 1h 4h 1h 
