2
7a 27 a6 1b 1a 14 a5 b3 8a 38 
74 64 3b 35 3h 76 36 3h 15 18 
17 16 b1 21 2b 25 26 a2 15 83 
2a 21 2h 5h b1 82 2b 36 a2 b5 
1a 1b b1 21 a2 63 58 2b 54 b2 
36 5a 5b 5h 4h b1 2b 51 a2 53 
84 8a 8h 35 3h b8 a1 65 5b 5a 
63 b5 61 31 8b 51 68v2 6h 6h 4h 
1h 1h 13 65 b6 a3 8b 8a 56 a8 
75v2 7a 72 b8 31 38 4b 47 43 4h 
73 b7 18 73 a7 47 2b 2a a2 72 
b7 45 75 4a 4b 74 b7 3b 3h a7 
3a b3 47 46 47 4h 8b 8h 8h 4h 
4h 3h bh ah 2h 8h 1h 5h 2h 8h 
1h 5h 8h 1h 5h 7h 1h 5h 6h 7h 
1h 5h 6h 7h 1h 5h 6h 7h 1h 5h 
6h 7h 1h 
