3
5a 15 32 4b 42 61 78 67 6c 6h 
a6 61 b6 52 71 4a 4b 43 48 42 
b4 62 36v2 17 3b 37 36 37 36 a3 
4a b4 83 74 71 a1 38 7b 7a 73 
7h 4h 76 14 b7 83 17 15 75 16 
38 57 56 83 76 46 4b a4 7a 17 
51 38 74 57 a5 83 7a b7 67 65 
61 51 56 5h 7h 38 c5 25 83 8b 
8c 85 8h 5h 83 83 82 16 a8 7a 
c7 8c b7 a8 61 23 53 8b 27 2a 
28 2h 2h 2h 84 b8 24 64 35 a2 
8b 53 62 b8 14 1a 1h 5b 5h b5 
12 1h 8h 3h ah 5h 2h 2h 7h c8 
31 3h 2h 7h 2h 7h 15v4 1h 4h 8h 
4h 5h 4h 5h 4h 5h 4h 5h 4h 3h 
4h 3h 4h 2h 3h 4h 7h 2h 3h 4h 
6h 7h 2h 3h 
