3
6a 6b 6c 76 31 3h ch b4 73 2c 
25 48 74 7b 72 76 42 b7 4b 47 
a4 45 46 12 1h 1h 85 84 54 1a 
17 18 a1 45 13 2a 21 2h a1 83 
67 18 54 53 25 76 b1 43 67 2a 
28 8h 3h 4b 4h b4 1b 34 76 a1 
43 5a 5h c1 34 56 5c a5 c2 4a 
4c 62 c4 a3 52 82 5c 5h 8a 86 
34 78 c1 68 2c 2h 3h 67 6h 43 
87 c5 27 7c 7h b7 61 7b 74 76 
7h b4 c4 42 78 a4 3b 3c 3a 3h 
6h 87 43 c6 b4 5c 46 27 31 25 
2h 75 7h 3h 8h a1 13 1b 1h 31 
3a 34 3h ch 6h 5h 1h 3h 3h 6h 
5h 1h 5h 1h 5h 1h 7h 5h 1h 5h 
4h 1h 7h bh 1h 7h 8h ah 1h 7h 
8h 1h 
