3
8a 84 2b a2 5c 52 65 12 c1 23 
1a 1c 13 b1 41 74 63 6b a6 8a 
8h a6 57 b5 2a 2b 2h 23 c2 25 
65 28 4c 42 34 c2 a8 74 7c 27 
43 4a 42 47 b7 a2 4b 4a 74 a2 
41 64 17 4a 61 b4 64 32 54 56v2 
5h 2b 2h ah 57 46 23 2h 4h 47 
32 38 71 61 3a 37 28 67 a5 3a 
34 36 35 3h a8 c3 43 53 8a 8c 
84 85 8h 16 1h 42 74 7h c2 83 
61 a6 b6 62 23 8c 8b 8a 86 8h 
a2 b2 1b 1a 18 1h 5h 4h a8 26 
15v8 14 1a 12 2h 3h 8h 84 36 61 
6h 42 4h c8 a8 63 86 3a 3h 3c 
34 3h 46 57 58 5h c6 63 78 75 
3c 3h 5h 6h 6h 7h 7h 64 6h 76 
73 7h bh 1h 2h ah 8h ch 8h 3h 
8h 3h 8h 5h 3h 5h 3h 4h 5h 3h 
6h 5h 3h 
