3
2a 82 1b 15 8c b8 4b 48 47 41 
48 c4 38 73 47 4c a4 c4 74 1a 
1c 51 c4 5c 75 a4 71 7a c7 17 
56 5c 51 71 51 52 b5 a2 74 6b 
6a 6h b7 57 14 c5 75 67 7b 85 
41 56 a7 58 57 43 87 67 34 5c 
b5 78 25 86 43 2a 21 1h 6h 2b 
25 2h c5 b4 2c a2 34 14 13 12 
1b 71 75 81 43 7a c7 85 8c 82 
b2 68 6b 76 c7 85 a8 6c 6a c6 
34 7c b7 43 c6 a7 8b 67 52 47 
b8 34 3h 83 35 3h 2h 3h 4h 3h 
1h 7h 4h 1h 7h 2h 4h 1h 7h 2h 
4h 1h 7h 2h 4h 1h 7h 2h 4h 5h 
2h 4h 5h 7h 2h 4h 5h 7h 2h 4h 
5h 7h 2h 4h 5h 7h 2h 4h 5h 7h 
2h 4h 
