3
8a 1b 18 a4 1c 6a 61 b4 84 6b 
65 a5 83 c2 83 8a 58 6c 67 85 
b6 14 a3 58 1b 1a b1 41 56 86 
56 c5 8b a8 48 18 4c 4a 43 a4 
c4 23 81 84 2a 2c b2 8b 62 c8 
68 14 28 26 25 2h 3h 2c a2 57 
c3 86 32 2a 2c b2 75 41 a3 57 
68 42 12 86 46 4b 4a 4h a2 46 
4a c4 75 a5 34 16 4c 4a c3 15 
68 7c 74 72 2h 3h 71 7h 71 c4 
31 a3 7c 35 28 34 54 b7 3a 3b 
3h 8h 4h 8h 2h 4h 2h 37 3h 1h 
8h 1h 4h 8h 1h 2h 4h 8h 5h 4h 
8h 4h 8h 7h 4h 7h 4h ah 6h 4h 
86 8h ch 5a 5c 53 51 57 54 5h 
2h ah ch 6h 3h 6h 1h 7h 8h 6h 
4h 6h bh 6h 
