2
7h 6a 61 4b 84 32 51 31 65 62 
a6 42 47 86 8a 85 b8 14 84 72 
54 58 8b a8 58 51 27 26 76 2a 
82 b5 26 38 7b a7 8a 28 27 25 
2h ah 2h 6h 6h 4a 42 4h a2 28 
b2 13 1a 1b 16 1h bh 8h 6h 6h 
1b 15 62 35 b1 84 a5 38v2 3b 63 
67 1a 27 58 a1 76 4a 4h 6h b2 
1b 42 4h 24 b1 85 67 61 7b 7h 
a2 71 31 2a b2 37 45 4h 43v2 46 
4h 1h 17 38 16 58 a3 2b 76 8a 
82 8h 7h 48 67 6h b7 8b 84 8h 
8h 45 a2 58 6a 6h a4 3a b3 23 
38 62v2 74 7h 5h 1h 7b 73 57 3h 
5h 83 8h b2 a5 1b 71v2 7h 5h 6h 
3h 4h 8h 4h 8h 4h 8h 4h 8h 2h 
4h 8h 2h 1h bh 8h 2h 1h 
