1
43 5a 78 67 a1 5a 57 53 53 56 
26 45 42 47 a4 3a 31 a1 3a 34 
3h 5h 25 21 51 a4 7a 75 a5 7a 
72 7h 6h a2 5a 52 a2 1a 15 a5 
1a 14 a4 5a 54 a4 1a 15 1h 7h 
a5 7a 72 67 17 1h 61 6h 7h 71 
67 6h 67 36 a7 3a 67 a6 36 3a 
3h a3 5a 53 85 8h 4h 87 a3 8a 
82 87 87 57 68 a5 6a 46 86 48 
43 83 48 a3 63 84 38 8a 38 63 
46 a8 64 36 2a 63 26 a6 83 8a 
68 62 76 78 72 82 62 46 87 48 
68 26 27 67 86 84 28 64 26 86 
78 76 86 78 72 82 68 62 82 68 
67 46 87 48 68 26 27 67 86 84 
28 64 76 78 72 82 87 38 62 36 
86 48 a3 63 84 28 27 87 28 6a 
76 78 72 82 62 46 87 48 68 26 
27 67 86 84 28 64 26 86 78 76 
86 78 72 82 68 62 82 68 67 46 
87 48 68 26 27 67 86 84 28 64 
26 86 78 76 86 78 72 82 68 62 
82 a8 38 2a 26 83 a6 38 2a 27 
83 a7 38 6a 67 a7 83 6a 62 36 
a2 63 76 72 62 36 8a 28 27 87 
38 68 46 a3 83 64 36 8a 38 68 
36 a6 34 7a 43 86 72 34 a2 68 
5a 45 86 54 25 43 68 27 57 45 
86 54 35 54 35 45 43 68 53 54 
65 63 46 85 83 48 53 68 76 72 
62 86 84 28 35 64 16 82 18 15 
12 85 48 65 46 86 48 2h 84 28 
27 87 48 a1 84 28 4a 82 48 34 
a8 43 4a 4h 24 2h 5h 5h 7h 74 
4h 5h 53 7h 47 34 4h 24 3h 53 
25 45 24 21 41 24 26 42 54 51 
25 41 24 54 25 85 2h 62 58 26 
72 71 21 72 2h 72 1h 85 3h 27 
62 32 36 26 23 62 23 62 32 36 
26 58 2h 62 63 23 62 68 76 28 
72 62 36 74 27 38 68 36 72 37 
67 26 24 72 64 86 35 83 27 82 
78 32 13 62 16 36 23 28 38 43 
75 67 63 16 73 17 67 36 37 67 
16 34 73 74 34 73 76 17 25 62 
32 83 71 87 37 23 26 12 7h 36 
83 75 87 37 63 21 62 32 73 61 
86 76 27 36 13 72 57 2h 76 17 
65 37 63 27 62 32 73 68 26 28 
72 32 83 63 56 2h 63 86 27 32 
25 32 36 73 26 42 37 53 2h 42 
2h 42 47 27 62 32 63 25 23 72 
68 46 76 74 64 24 32 52 67 86 
53 23 25 32 25 32 36 43 47 37 
63 23 72 68 46 76 26 32 38 63 
28 62 32 73 67 26 23 82 37 67 
86 26 72 34 83 74 24 52 2h 62 
63 46 47 67 36 26 72 38 43 73 
74 34 24 62 68 56 25 82 62 86 
37 23 26 42 47 27 62 32 73 68 
46 76 36 23 28 62 38 63 23 72 
67 36 32 73 62 86 41 31 83 63 
26 21 61 36 74 87 24 52 63 56 
67 46 37 58 38 73 38 73 64 86 
75 87 23 82 37 32 43 25 65 76 
