2
3a 83 4b a4 b6 71 5a 7b 75 b2 
a4 7b 7a 71 a6 57v2 58 5a 57 a8 
5a 73 a1 68 25v2 26 37 32 46 b3 
35 72 13 63 46 61 31 27 56 21 
71 2a 26 65 72 12 56 84 86 21 
8b 87 81 1h 4h 2h 74 a7 87 12 
65 57 13 68 8a 23 46 47 67 6h 
48 4h 85 32 34 31 41 21 24 a2 
52 14 b8 38 3h 4h 41 3a 3b a2 
72 2a 2h 4h 7h 27 43 4h b4 72 
54 5b 13 1h 7h 7h 8h 15 1h 7h 
8h 4h 87 8h 17 48 4h b4 5b 65 
6h 84 b6 36 4b 48 43 45 b8 15 
1b 14 1h 1h 47 14 1h ah 6h 2h 
6h 2h 6h 2h 6h 7h 2h 7h 2h 4h 
7h 2h 5h 7h 2h 8h 5h bh 2h 8h 
5h 1h 3h 5h 
