2
5h 5a 3b 35 b2 a6 8b 8a 48 a3 
56 27 2h 1a 17 53 45 a4 1a 1h 
b1 a1 41 8b 8a 48 b4 85 8b a8 
86 b8 4a 4b 24 25 21 a6 27 2a 
b2 62 64 24 57 2b a2 32 3a 35 
75 38 35 23 a5 35 52 57 27 b3 
46 4a 4b 34 a3 43 58 b4 72 63 
5a 27 34 61 72 a5 6b 6h 1h b3 
63 6h 2a 2h 72 68 78 a2 3b 3a 
a3 28 67 87 72 b6 78 27 41 63 
43 13 72vb 7a 7b 76 74 4h 7h 3h 
2h 3h 2h 3h 8h 3h 8h 3h 8h 3h 
3h 24 27 23 2h 38 a3 78 82 8h 
3h 42 16 1a 17 13 7h 6h 2h 6h 
2h 6h 2h 6h 3h 2h 6h 2h 6h 8h 
2h 6h bh 8h 2h 6h 5h 8h 2h 6h 
ah 8h 2h 6h 
