2
81 5a 2b 25 a3 38 21 61 75 3a 
23 a7 b1 28 76 7a 7b 27 b5 a7 
12 18 72 7b 17 15 18 1a 1h 2h 
17 a1 41 87 6a 6h 64 6h ah 6a 
64 b6 a2 6b 6a 78 45 46 a4 6a 
87 b4 81 36v2 3b 3h b7 a3 53 54 
18 34 3b 3a 36 a3 b3 27 28 5b 
5a 35 a2 b2 78 42 25 54 5b 5a 
54 42 a6 26 b3 43 63 81 4a 4b 
46 bh 1h 6h 17 1h 3b 35 32 34 
3h 5h 26 63 71 34 15 1h 42 4h 
23 14 1h 47 18 36 3h 78 7h 7h 
3h 3h 87 8h 3h 82 8h 21 a4 8a 
82 84 8h bh 5h 6h 7h 8h 8h 6h 
7h 6h 7h 6h 7h 6h 7h 3h 6h 1h 
6h 1h 6h ah 4h 1h 6h 2h 4h 1h 
6h 
