2
47 65 8a 76 7b 76 78 71 75 b5 
6b 65 b5 8b a1 87 b7 1a 1b 17 
b7 4b a7 41 4a 4h 48 4h 24 2h 
b2 4b 24 27 47 b4 3b 31 38 68 
37 63 65 62 67 86 3h 68 36 38 
65 26 32 b3 6b a6 26 8a 62 b6 
5b a8 5a 58 a8 5a b8 1b a5 1a 
12 18 26 a6 8a b6 5b a8 7a b5 
7b 71 b1 8b a1 4a 84 b4 8b 85 
b5 4b 45 84 b5 48 14 3b 73 41 
74 34 73 76 36 43 46 84 36 83 
43 b4 3b 38 53 b8 35 83 5b 38 
53 b3 4b 34 35 13 45 14 16 46 
84 36 83 43 b4 3b 38 53 b8 35 
83 5b 38 53 b3 4b 34 35 73 45 
74 34 83 72 87 37 43 42 84 32 
83 43 84 82 18 12 15 41 84 82 
42 64 8h 58 46 54 84 58 4h 48 
54 57 47 84 87 58 47 54 84 58 
51 81 58 52 54 56 85 78 7h 74 
6h 47 8h 48 6h 84 58 74 85 78 
48 47 87 84 58 74 85 78 48 62 
2h 84 87 48 8h 58 6h 26 4h 74 
85 78 73 57 83 58 43 78 47 41 
34 47 34 74 73 47 73 87 41 34 
41 34 78 37 47 34 38 73 74 87 
34 83 73 47 17 14 74 71 47 71 
47 17 14 74 62 5h 45 41 51 45 
75 37 47 54 14 38 43 15 35 73 
41 54 41 54 53 85 14 75 37 17 
47 35 13 43 74 43 74 75 37 35 
75 17 37 13 47 54 47 54 74 75 
45 47 54 47 54 18 38 53 43 74 
43 74 34 37 47 43 74 43 74 58 
78 48 34 48 34 37 53 47 84 47 
84 74 78 51 45 26 87 57 85 31 
83 53 85 43 74 43 74 34 37 47 
43 74 43 74 18 51 75 78 17 45 
34 45 34 54 38 58 48 53 15 43 
84 43 84 75 87 47 34 47 34 85 
35 38 53 38 53 48 74 48 74 73 
57 43 84 43 84 34 75 37 62 2h 
47 43 74 43 84 74 37 74 37 85 
35 75 47 75 47 57 38 73 54 34 
53 73 47 73 47 48 54 78 37 78 
37 34 53 74 87 74 87 47 48 78 
74 87 74 87 35 83 73 47 73 47 
85 45 48 54 74 37 74 37 35 43 
37 83 53 7h 73 47 45 34 73 87 
35 81 71 37 47 54 31 53 43 74 
75 17 57 37 51 31 73 31 73 43 
24 62 46 34 37 53 47 14 35 13 
73 71 41 34 37 53 17 58 15 75 
38 13 47 54 53 75 53 85 18 51 
75 45 34 78 37 57 53 85 51 85 
31 41 74 73 87 43 14 57 15 35 
31 41 74 6h 34 13 51 35 43 47 
14 26 5h 45 74 51 53 15 53 15 
35 31 51 53 15 53 15 47 14 54 
35 54 35 45 43 53 62 47 14 26 
74 71 41 51 35 51 35 34 13 62 
14 34 13 78 17 37 83 57 45 57 
45 75 74 54 57 45 57 45 75 18 
31 43 48 14 38 73 6h 37 53 37 
83 41 84 34 83 54 75 54 75 45 
47 57 54 75 54 75 45 18 31 73 
78 17 38 53 58 45 35 43 58 53 
85 53 85 35 38 58 53 85 53 85 
47 84 47 84 74 78 48 58 35 58 
35 71 87 83 73 87 57 35 57 35 
75 73 53 57 35 57 35 75 38 53 
78 38 13 57 85 57 85 43 84 54 
75 54 75 73 87 81 71 37 71 37 
38 13 53 45 53 45 35 34 54 53 
45 53 45 41 84 51 25 26 56 35 
51 35 15 48 14 54 53 85 31 41 
43 14 43 14 75 17 47 34 47 34 
35 13 18 38 53 38 53 51 85 45 
74 45 74 78 27 48 54 48 24 31 
53 51 25 31 83 31 83 74 27 57 
15 53 85 15 35 31 43 51 3h 53 
58 75 38 13 72 87 37 83 71 73 
87 45 34 37 53 47 84 35 13 7h 
31 73 74 17 13 73 57 52 35 72 
37 57 45 35 73 75 17 35 13 73 
57 53 73 57 48 14 75 37 35 75 
37 34 53 74 57 37 53 58 75 73 
47 53 45 75 37 35 38 53 73 57 
54 35 37 43 57 85 34 83 54 85 
35 73 74 34 23 3h 43 75 47 37 
43 54 35 73 74 57 34 53 73 47 
43 73 47 45 75 37 35 75 37 34 
53 74 57 37 43 54 35 73 74 57 
34 53 73 47 43 73 47 45 75 37 
35 75 37 34 23 7h 47 32 53 74 
57 37 43 48 74 38 53 47 54 34 
73 85 45 81 41 54 37 53 43 74 
73 17 43 14 75 27 48 34 58 51 
35 38 58 15 48 24 35 23 43 54 
73 87 51 35 41 24 53 85 81 51 
85 71 87 57 15 42 34 4h 34 32 
73 42 14 13 43 14 53 15 47 34 
75 78 37 35 75 87 45 24 71 27 
31 53 47 54 51 41 54 31 73 45 
24 74 57 34 13 75 27 2h 31 53 
58 15 38 13 53 85 15 18 58 51 
35 38 13 58 15 35 83 12 41 6h 
38 53 52 45 32 83 15 81 82 12 
81 32 83 13 51 54 25 5h 25 23 
53 45 15 31 32 12 31 38 23 47 
24 41 54 57 85 25 15 35 23 13 
51 47 24 53 13 51 58 35 18 21 
38 58 35 34 63 3h 83 54 85 35 
83 48 34 53 58 45 38 43 53 85 
83 53 85 84 54 35 34 54 35 38 
43 58 45 35 83 48 34 53 58 45 
38 43 53 85 83 53 85 84 54 35 
34 54 35 38 63 3h 83 53 45 82 
48 58 35 32 83 85 48 35 43 83 
58 53 83 28 84 28 54 35 34 54 
35 38 43 58 45 35 83 48 34 53 
58 45 38 43 53 85 83 53 85 84 
54 35 34 54 35 38 43 58 45 35 
83 48 34 53 58 45 38 43 53 85 
83 42 34 54 35 32 43 45 84 35 
83 43 54 53 43 24 48 24 58 35 
38 58 35 34 63 67 37 83 54 85 
35 83 48 34 53 58 45 38 43 53 
85 83 53 85 84 54 35 34 54 35 
38 43 58 45 35 83 48 34 53 58 
45 38 43 53 85 83 53 85 84 54 
35 34 54 35 38 63 5h 85 36 43 
82 68 52 75 86 48 38 43 57 85 
83 48 24 82 38 58 45 35 83 85 
28 35 23 31 63 81 68 38 53 42 
54 51 41 84 31 23 53 65 85 18 
8h 58 56 15 86 38 46 14 54 15 
83 48 45 34 85 18 48 54 58 32 
83 82 32 63 42 64 34 23 58 25 
35 83 81 58 21 85 48 32 53 51 
31 84 25 5h 43 18 15 12 52 15 
82 68 51 75 48 74 54 25 38 13 
5h 45 48 24 58 25 45 24 32 53 
54 85 42 32 83 53 25 41 84 21 
51 35 34 83 47 57 15 38 23 48 
14 54 85 32 83 86 18 36 43 48 
24 38 63 42 64 21 34 83 54 85 
82 35 4h 58 23 12 53 25 83 78 
8h 38 52 45 32 82 78 31 73 83 
28 54 15 25 21 51 81 38 34 73 
52 45 47 53 25 37 87 18 15 12 
52 82 78 34 73 83 28 51 45 21 
81 28 74 76 46 54 35 34 13 54 
15 82 18 21 58 45 38 43 53 85 
81 51 65 46 54 35 34 13 54 15 
12 58 45 82 32 43 53 25 81 48 
21 51 35 38 13 86 56 15 35 23 
84 18 31 43 47 14 37 53 54 65 
34 63 53 45 82 68 42 52 35 38 
23 58 25 35 83 41 24 87 37 53 
54 15 34 63 52 45 42 41 24 54 
25 83 48 45 34 12 52 51 25 43 
85 5h 34 28 12 52 75 81 78 21 
84 28 47 43 14 73 53 15 45 74 
82 58 21 81 78 48 34 38 4h 34 
36 13 35 13 46 32 86 5h 24 63 
38 63 41 64 52 15 34 23 31 83 
34 83 52 45 53 45 35 34 53 34 
23 58 45 58 45 47 5h 84 85 45 
14 86 41 32 78 5h 24 63 58 15 
83 52 87 4h 25 38 74 51 47 87 
15 36 52 2h 64 78 73 47 87 36 
2h 75 5h 64 78 86 4h 63 37 1h 
72 26 6h 6h 7h bh ah 
